Date,OIS Score
2004-10-29,25.91249013
2004-11-01,33.7340173
2004-11-02,44.38052812
2004-11-03,9.751026327
2004-11-04,-2.30686964
2004-11-05,0.675853236
2004-11-08,13.07588363
2004-11-09,5.687606637
2004-11-10,6.223512884
2004-11-11,-1.14127449
2004-11-12,-6.141616301
2004-11-15,3.917916666
2004-11-16,6.229908385
2004-11-17,4.020723645
2004-11-18,12.66955384
2004-11-19,9.017496397
2004-11-22,-2.030231467
2004-11-23,-0.220555595
2004-11-24,-6.065791739
2004-11-26,3.109033225
2004-11-29,7.942164155
2004-11-30,19.24309706
2004-12-01,-5.58675131
2004-12-02,7.003542707
2004-12-03,10.16068905
2004-12-06,25.27475326
2004-12-07,3.738876329
2004-12-08,-2.254428707
2004-12-09,1.447350589
2004-12-10,-1.266314371
2004-12-13,-5.740999284
2004-12-14,-3.78957922
2004-12-15,-5.641563294
2004-12-16,-11.40944785
2004-12-17,-6.200858415
2004-12-20,3.368316821
2004-12-21,-12.33148405
2004-12-22,-8.237692749
2004-12-23,-9.910060983
2004-12-27,5.735500362
2004-12-28,-15.24448863
2004-12-29,-6.504819625
2004-12-30,2.069181865
2004-12-31,12.61745357
2005-01-03,5.872082683
2005-01-04,-7.03222283
2005-01-05,-18.16615719
2005-01-06,-13.93563186
2005-01-07,-14.79135904
2005-01-10,-8.34658486
2005-01-11,-8.612570955
2005-01-12,-3.637763699
2005-01-13,4.442547441
2005-01-14,-7.277700644
2005-01-18,-4.083349077
2005-01-19,-4.719570612
2005-01-20,2.107073738
2005-01-21,7.739678326
2005-01-24,15.312825
2005-01-25,17.5512629
2005-01-26,-6.115916489
2005-01-27,-2.345474449
2005-01-28,-0.763273314
2005-01-31,-16.75680222
2005-02-01,-15.01466588
2005-02-02,-14.80169102
2005-02-03,-14.08204035
2005-02-04,-27.74015421
2005-02-07,-16.86812029
2005-02-08,-13.12144374
2005-02-09,-28.94906661
2005-02-10,-22.44161967
2005-02-11,-35.77955721
2005-02-14,-25.91608846
2005-02-15,-22.629512
2005-02-16,-22.90557911
2005-02-17,-22.39629495
2005-02-18,-9.203141799
2005-02-22,-20.90051823
2005-02-23,-16.5802448
2005-02-24,-27.34173657
2005-02-25,-40.21162843
2005-02-28,-28.54165323
2005-03-01,-27.25941874
2005-03-02,-13.35583978
2005-03-03,-4.339885036
2005-03-04,-15.22535474
2005-03-07,-4.160205998
2005-03-08,1.909169388
2005-03-09,3.884527916
2005-03-10,5.513560983
2005-03-11,16.14821217
2005-03-14,20.03098723
2005-03-15,26.31035479
2005-03-16,29.17061269
2005-03-17,33.49122303
2005-03-18,40.05457909
2005-03-21,48.32304167
2005-03-22,53.31145337
2005-03-23,43.41445681
2005-03-24,41.04591791
2005-03-28,51.39836416
2005-03-29,30.89886856
2005-03-30,6.816868946
2005-03-31,16.22495534
2005-04-01,14.00421351
2005-04-04,18.79172721
2005-04-05,17.83074266
2005-04-06,18.95495977
2005-04-07,18.12290302
2005-04-08,1.43384305
2005-04-11,-0.446960873
2005-04-12,-3.02506563
2005-04-13,-21.2606668
2005-04-14,-10.67234171
2005-04-15,-8.13149055
2005-04-18,1.52747967
2005-04-19,-26.5049225
2005-04-20,-29.54698288
2005-04-21,-68.63280207
2005-04-22,-68.87179352
2005-04-25,-73.83770731
2005-04-26,-73.30050084
2005-04-27,-55.47268824
2005-04-28,-58.01570632
2005-04-29,-52.52277757
2005-05-02,-53.43246589
2005-05-03,-42.92979474
2005-05-04,-67.64210041
2005-05-05,-59.70842114
2005-05-06,-59.29766385
2005-05-09,-55.17014473
2005-05-10,-45.13561852
2005-05-11,-32.08873975
2005-05-12,-27.60873841
2005-05-13,-13.32469162
2005-05-16,-19.12051865
2005-05-17,-22.24978882
2005-05-18,-54.93211834
2005-05-19,-42.99483854
2005-05-20,-37.62270773
2005-05-23,-32.82721584
2005-05-24,-24.70676806
2005-05-25,-21.1761789
2005-05-26,-34.01969409
2005-05-27,-27.47644833
2005-05-31,-8.535518911
2005-06-01,-18.95611765
2005-06-02,-14.65986456
2005-06-03,-12.62124233
2005-06-06,-2.547258146
2005-06-07,2.123567548
2005-06-08,13.22055846
2005-06-09,6.476911593
2005-06-10,13.49101603
2005-06-13,20.80650532
2005-06-14,19.62315802
2005-06-15,27.31645801
2005-06-16,18.730309
2005-06-17,27.61721266
2005-06-20,35.91975484
2005-06-21,35.18757115
2005-06-22,34.57690719
2005-06-23,23.0655167
2005-06-24,26.88166761
2005-06-27,32.13684017
2005-06-28,-13.13227975
2005-06-29,-10.75563334
2005-06-30,-5.816129051
2005-07-01,-8.490282313
2005-07-05,-23.39487221
2005-07-06,-15.90600732
2005-07-07,-6.892088076
2005-07-08,-37.55555168
2005-07-11,-47.05871855
2005-07-12,-29.86844767
2005-07-13,-30.59654882
2005-07-14,-22.5821502
2005-07-15,-22.18359378
2005-07-18,-13.92476618
2005-07-19,-36.56832103
2005-07-20,-44.9722595
2005-07-21,-33.80635992
2005-07-22,-52.46220073
2005-07-25,-34.39960285
2005-07-26,-32.85807402
2005-07-27,-26.73778171
2005-07-28,-33.69387362
2005-07-29,-18.38835231
2005-08-01,-5.506807651
2005-08-02,-9.766153073
2005-08-03,1.219605996
2005-08-04,1.459560573
2005-08-05,0.868170643
2005-08-08,18.33233475
2005-08-09,17.28708401
2005-08-10,28.27638637
2005-08-11,15.33028744
2005-08-12,21.99491243
2005-08-15,18.51482307
2005-08-16,15.96185288
2005-08-17,21.1521278
2005-08-18,27.38449371
2005-08-19,24.12011441
2005-08-22,26.06669721
2005-08-23,28.070654
2005-08-24,34.82680615
2005-08-25,36.01358993
2005-08-26,26.61048155
2005-08-29,19.82422737
2005-08-30,28.77698775
2005-08-31,-2.153344039
2005-09-01,3.7010699
2005-09-02,8.730235422
2005-09-06,-6.369486247
2005-09-07,-4.942327869
2005-09-08,1.186826573
2005-09-09,-2.071558314
2005-09-12,12.2107038
2005-09-13,8.020692424
2005-09-14,13.79316556
2005-09-15,14.40847911
2005-09-16,-1.933309397
2005-09-19,3.030508744
2005-09-20,8.753478942
2005-09-21,4.733414989
2005-09-22,2.823348425
2005-09-23,-1.124185968
2005-09-26,3.654882516
2005-09-27,8.870482743
2005-09-28,16.25655811
2005-09-29,-1.26060482
2005-09-30,3.90495011
2005-10-03,12.35846708
2005-10-04,18.24673305
2005-10-05,-9.85776924
2005-10-06,-2.802478585
2005-10-07,-4.386382051
2005-10-10,-4.259647341
2005-10-11,9.176645108
2005-10-12,22.12571993
2005-10-13,24.69206302
2005-10-14,-0.309345101
2005-10-17,6.863177041
2005-10-18,8.393745262
2005-10-19,-13.90720608
2005-10-20,-11.56803347
2005-10-21,-7.895500809
2005-10-24,-36.0889775
2005-10-25,-30.74340478
2005-10-26,-23.2156376
2005-10-27,-30.27252464
2005-10-28,-44.17124357
2005-10-31,-43.3335066
2005-11-01,-34.21114178
2005-11-02,-58.46031914
2005-11-03,-54.64009159
2005-11-04,-44.94187013
2005-11-07,-36.77872313
2005-11-08,-33.14257899
2005-11-09,-26.42039089
2005-11-10,-27.94697024
2005-11-11,-16.83317117
2005-11-14,-13.17084039
2005-11-15,-8.403364007
2005-11-16,4.575417531
2005-11-17,-28.56883606
2005-11-18,-25.60069887
2005-11-21,-26.92233605
2005-11-22,-24.5369671
2005-11-23,-16.0718711
2005-11-25,-3.492904943
2005-11-28,-4.050733308
2005-11-29,0.267237214
2005-11-30,2.745330117
2005-12-01,-29.74428477
2005-12-02,-22.74003103
2005-12-05,-12.3097404
2005-12-06,-7.289759769
2005-12-07,0.98251295
2005-12-08,3.516646558
2005-12-09,2.408442682
2005-12-12,6.757347151
2005-12-13,16.26214641
2005-12-14,22.58383836
2005-12-15,28.57253627
2005-12-16,30.43101843
2005-12-19,23.13649723
2005-12-20,25.15415584
2005-12-21,13.58218041
2005-12-22,9.522750551
2005-12-23,9.201045224
2005-12-27,17.38347972
2005-12-28,22.06026005
2005-12-29,28.29422397
2005-12-30,28.03171825
2006-01-03,12.36054533
2006-01-04,8.384392315
2006-01-05,7.047500246
2006-01-06,-5.698911536
2006-01-09,-11.80546687
2006-01-10,-13.13440907
