Existing Posn.,Symbol,Description,Date,Time,Strike Price,Call/Put,Exp.Date,Mid IV,Th.Price,Bid,Asked,Percent O/U,Volume,Open Interest,Delta,Gamma,Vega,Theta,Rho,Prob.Finish.ITM,Last
,RUT,RUT Index,140304,16:00:00,, ,,,,,,,,,1,0,,,,,1208.6
,RUT 14O960,Mar 960 Puts,140304,16:00:00,960,P,140321,,0.16,,0.2,0.25,106,1646,-0.309,0.007,3.548,-3.963,-0.268,0,0.25
,RUT 14P960,Apr 960 Puts,140304,16:00:00,960,P,140418,0.335,1.23,1.1,1.4,0.008,123,804,-1.735,0.027,22.721,-8.323,-3.481,0,1.1
,RUT 14Q960,May 960 Puts,140304,16:00:00,960,P,140516,0.305,2.89,2.25,3.5,-0.003,,12,-3.424,0.043,47.76,-9.865,-10.48,0,-1
,RUT 14R960,Jun 960 Puts,140304,16:00:00,960,P,140620,0.287,5.5,4.8,6.1,-0.009,13,739,-5.517,0.058,81.596,-10.705,-24.111,0.002,5.39
,RUT 14U960,Sep 960 Puts,140304,16:00:00,960,P,140919,0.266,13.23,12.5,13.9,-0.002,,121,-10.315,0.08,164.166,-10.833,-77.288,0.02,-1
,RUT 14X960,Dec 960 Puts,140304,16:00:00,960,P,141219,0.26,22.32,19.9,24.5,-0.005,,129,-12.523,0.075,239.247,-10.479,-151.651,0.045,-1
,RUT 14O970,Mar 970 Puts,140304,16:00:00,970,P,140321,0.413,0.18,0.1,0.35,0.222,181,2278,-0.358,0.008,4.019,-5.108,-0.308,0,0.2
,RUT 14P970,Apr 970 Puts,140304,16:00:00,970,P,140418,0.324,1.37,1.05,1.55,-0.058,28,537,-1.95,0.03,24.949,-8.506,-3.89,0,1.15
,RUT 14Q970,May 970 Puts,140304,16:00:00,970,P,140516,0.298,3.17,2.55,3.7,-0.013,,91,-3.796,0.048,51.735,-10.364,-11.571,0,-1
,RUT 14R970,Jun 970 Puts,140304,16:00:00,970,P,140620,0.282,5.98,5.3,6.6,-0.005,,207,-6.028,0.063,87.199,-11.255,-26.272,0.003,-1
,RUT 14U970,Sep 970 Puts,140304,16:00:00,970,P,140919,0.262,14.18,13.4,14.9,-0.005,50,101,-11.047,0.085,172.322,-11.176,-82.731,0.025,13.21
,RUT 14X970,Dec 970 Puts,140304,16:00:00,970,P,141219,0.254,23.52,20.7,24.8,-0.033,,93,-13.262,0.087,247.957,-10.519,-159.937,0.053,-1
,RUT 14O980,Mar 980 Puts,140304,16:00:00,980,P,140321,0.387,0.21,0.15,0.2,-0.143,192,2016,-0.417,0.009,4.568,-4.304,-0.356,0,0.2
,RUT 14P980,Apr 980 Puts,140304,16:00:00,980,P,140418,0.319,1.52,1.25,1.75,-0.013,66,575,-2.195,0.034,27.418,-9.485,-4.355,0,1.4
,RUT 14Q980,May 980 Puts,140304,16:00:00,980,P,140516,0.292,3.49,2.95,3.9,-0.02,2,127,-4.211,0.053,56.035,-10.957,-12.784,0.001,3.3
,RUT 14R980,Jun 980 Puts,140304,16:00:00,980,P,140620,0.278,6.51,5.9,7.2,0.006,,103,-6.589,0.069,93.139,-11.948,-28.633,0.005,-1
,RUT 14U980,Sep 980 Puts,140304,16:00:00,980,P,140919,0.259,15.2,14.5,16,0.003,,38,-11.828,0.09,180.723,-11.665,-88.532,0.03,-1
,RUT 14X980,Dec 980 Puts,140304,16:00:00,980,P,141219,0.251,24.8,22.1,26.1,-0.028,,92,-14.112,0.092,256.849,-10.791,-168.691,0.062,-1
,RUT 14C990,Mar 990 Calls,140304,16:00:00,990,C,140321,,217.76,213.8,216.7,-0.012,,62,99.924,0.001,0.109,0.186,46.073,1,-1
,RUT 14D990,Apr 990 Calls,140304,16:00:00,990,C,140418,,217.12,213.8,216.9,-0.008,,65,98.409,0.029,17.419,-4.97,119.457,1,-1
,RUT 14E990,May 990 Calls,140304,16:00:00,990,C,140516,,218.02,214.8,218,-0.007,,,95.948,0.052,51.594,-9.445,186.385,0.999,-1
,RUT 14F990,Jun 990 Calls,140304,16:00:00,990,C,140620,,219.45,216.2,219.5,-0.007,,116,93.409,0.069,90.055,-10.884,265.395,0.993,-1
,RUT 14I990,Sep 990 Calls,140304,16:00:00,990,C,140919,0.232,223.18,219.9,225.3,-0.003,,28,87.725,0.098,172.749,-10.386,456.438,0.962,-1
,RUT 14L990,Dec 990 Calls,140304,16:00:00,990,C,141219,0.23,228.98,224.8,233.2,0,,21,83.92,0.1,248.6,-10.684,624.966,0.928,-1
,RUT 14O990,Mar 990 Puts,140304,16:00:00,990,P,140321,,0.24,0.05,0.35,-0.167,179,3726,-0.488,0.011,5.208,-5.409,-0.412,0,0.2
,RUT 14P990,Apr 990 Puts,140304,16:00:00,990,P,140418,0.307,1.69,1.05,2,-0.095,22,501,-2.475,0.039,30.157,-9.514,-4.884,0,1.53
,RUT 14Q990,May 990 Puts,140304,16:00:00,990,P,140516,0.287,3.85,3.2,4.4,-0.016,2,299,-4.675,0.059,60.681,-11.72,-14.136,0.001,3.5
,RUT 14R990,Jun 990 Puts,140304,16:00:00,990,P,140620,0.273,7.09,6.5,7.8,0.008,,154,-7.204,0.075,99.424,-12.542,-31.213,0.007,-1
,RUT 14U990,Sep 990 Puts,140304,16:00:00,990,P,140919,0.255,16.29,15.6,17.1,0,50,88,-12.659,0.096,189.354,-12.013,-94.711,0.038,15.13
,RUT 14X990,Dec 990 Puts,140304,16:00:00,990,P,141219,0.248,26.16,23.6,27.7,-0.021,1,1303,-15.012,0.097,265.913,-11.063,-177.941,0.072,24.8
,RUT 14C1000,Mar 1000 Calls,140304,16:00:00,1000,C,140321,,207.76,203.8,206.7,-0.012,6,197,99.918,0.001,0.165,0.156,46.535,1,207.5
,RUT 14D1000,Apr 1000 Calls,140304,16:00:00,1000,C,140418,,207.24,204,207.1,-0.008,,73,98.158,0.035,19.951,-5.596,120.255,1,-1
,RUT 14E1000,May 1000 Calls,140304,16:00:00,1000,C,140516,,208.34,205.1,208.5,-0.007,,,95.488,0.059,56.366,-10.121,187.043,0.998,-1
,RUT 14F1000,Jun 1000 Calls,140304,16:00:00,1000,C,140620,,210,207,210.3,-0.006,,351,92.789,0.076,96.59,-11.463,265.724,0.99,-1
,RUT 14I1000,Sep 1000 Calls,140304,16:00:00,1000,C,140919,0.229,214.26,210.9,216.6,-0.002,,11,86.81,0.105,182.301,-10.865,455.303,0.954,-1
,RUT 14L1000,Dec 1000 Calls,140304,16:00:00,1000,C,141219,0.227,220.49,216.2,224.6,0,,426,82.952,0.105,259.12,-10.993,622.497,0.917,-1
,RUT 14O1000,Mar 1000 Puts,140304,16:00:00,1000,P,140321,0.358,0.27,0.1,0.3,-0.259,675,7082,-0.573,0.013,5.957,-4.623,-0.48,0,0.3
