Existing Posn.,Symbol,Description,Date,Time,Strike Price,Call/Put,Exp.Date,Mid IV,Th.Price,Bid,Asked,Percent O/U,Volume,Open Interest,Delta,Gamma,Vega,Theta,Rho,Prob.Finish.ITM,Last
,RUT,RUT Index,120620,16:00:00,, ,,,,,,,,,1,0,,,,,784
,RUT 12X625,Dec 625 Puts,120620,16:00:00,625,P,121221,0.346,17.38,16.4,18.1,-0.007,,1063,-16.311,0.147,131.585,-12.286,-69.276,0.095,-1
,RUT 13O625,Mar13 625 Puts,120620,16:00:00,625,P,130315,0.344,27.75,26.1,28.3,-0.02,,302,-19.026,0.132,179.903,-11.384,-127.727,0.141,-1
,RUT 13R625,Jun13 625 Puts,120620,16:00:00,625,P,130621,0.342,38.4,36.2,39.8,-0.01,,,-20.906,0.123,224.746,-10.32,-202.754,0.181,-1
,RUT 12S630,Jul 630 Puts,120620,16:00:00,630,P,120720,0.353,0.4,0.35,0.45,0,914,5066,-1.379,0.046,8.026,-4.552,-0.928,0.001,0.4
,RUT 12T630,Aug 630 Puts,120620,16:00:00,630,P,120817,0.346,2.44,2.25,2.55,-0.016,247,923,-5.208,0.106,32.776,-9.604,-6.714,0.011,2.48
,RUT 12U630,Sep 630 Puts,120620,16:00:00,630,P,120921,0.342,6.15,5.7,6.5,-0.007,93,349,-9.42,0.137,64.791,-11.811,-19.679,0.036,6.35
,RUT 13O630,Mar13 630 Puts,120620,16:00:00,630,P,130315,0.341,28.63,27,29.2,-0.019,,1,-19.63,0.136,183.392,-11.508,-131.806,0.15,-1
,RUT 12S640,Jul 640 Puts,120620,16:00:00,640,P,120720,0.347,0.52,0.5,0.6,0.058,2381,5766,-1.776,0.059,9.962,-5.773,-1.194,0.001,0.5
,RUT 12T640,Aug 640 Puts,120620,16:00:00,640,P,120817,0.34,2.89,2.7,3.1,0.003,138,844,-6.136,0.124,37.316,-10.858,-7.918,0.017,2.95
,RUT 12U640,Sep 640 Puts,120620,16:00:00,640,P,120921,0.335,6.98,6.5,7.4,-0.003,20,519,-10.64,0.152,70.896,-12.676,-22.263,0.047,7.15
,RUT 13O640,Mar13 640 Puts,120620,16:00:00,640,P,130315,0.337,30.49,29.1,31.3,-0.01,,1,-20.963,0.152,190.38,-11.824,-140.317,0.169,-1
,RUT 12G650,Jul 650 Calls,120620,16:00:00,650,C,120720,,134.55,132.4,136.3,-0.001,15,47,96.638,0.078,19.414,-12.218,50.695,0.997,134.4
,RUT 12H650,Aug 650 Calls,120620,16:00:00,650,C,120817,,136.91,135.1,136.8,-0.008,13,14,92.305,0.126,48.703,-15.026,91.895,0.975,134.1
,RUT 12I650,Sep 650 Calls,120620,16:00:00,650,C,120921,,139.55,136.9,140.8,-0.005,,16,88.062,0.158,78.509,-14.132,139.719,0.939,-1
,RUT 12L650,Dec 650 Calls,120620,16:00:00,650,C,121221,0.317,148.52,146,149.9,-0.004,,205,80.613,0.169,146.11,-12.697,245.999,0.86,-1
,RUT 13C650,Mar13 650 Calls,120620,16:00:00,650,C,130315,0.309,155.3,151.3,158.4,-0.003,,1,76.358,0.163,192.371,-11.336,335.118,0.811,-1
,RUT 13F650,Jun13 650 Calls,120620,16:00:00,650,C,130621,0.306,162.71,160.2,165.1,0,,,73.631,0.147,237.042,-10.265,430.711,0.772,-1
,RUT 12S650,Jul 650 Puts,120620,16:00:00,650,P,120720,0.335,0.67,0.6,0.75,0.015,673,6112,-2.288,0.075,12.34,-6.767,-1.539,0.003,0.69
,RUT 12T650,Aug 650 Puts,120620,16:00:00,650,P,120817,0.332,3.42,3.2,3.7,0.009,344,787,-7.222,0.143,42.358,-12.108,-9.33,0.025,3.5
,RUT 12U650,Sep 650 Puts,120620,16:00:00,650,P,120921,0.329,7.93,7.5,8.3,-0.001,12,2330,-12.004,0.169,77.356,-13.611,-25.157,0.061,8.4
,RUT 12X650,Dec 650 Puts,120620,16:00:00,650,P,121221,0.333,21.28,20.5,22.1,0.001,,4763,-19.76,0.171,149.113,-13.4,-84.337,0.14,-1
,RUT 13O650,Mar13 650 Puts,120620,16:00:00,650,P,130315,0.332,32.48,31.2,33.4,-0.006,,157,-22.402,0.16,197.363,-12.08,-149.326,0.189,-1
,RUT 13R650,Jun13 650 Puts,120620,16:00:00,650,P,130621,0.332,44.14,42.2,46,-0.001,,10,-24.268,0.144,242.403,-10.818,-232.187,0.228,-1
,RUT 12G655,Jul 655 Calls,120620,16:00:00,655,C,120720,,129.67,128.7,130.3,-0.001,,19,96.332,0.086,20.815,-12.871,50.864,0.996,-1
,RUT 12S655,Jul 655 Puts,120620,16:00:00,655,P,120720,0.331,0.76,0.6,0.95,0.026,217,1166,-2.597,0.085,13.72,-7.481,-1.746,0.004,0.78
,RUT 12G660,Jul 660 Calls,120620,16:00:00,660,C,120720,,124.81,123.8,125.5,-0.001,10,63,95.994,0.094,22.323,-13.561,51.009,0.994,124.65
,RUT 12H660,Aug 660 Calls,120620,16:00:00,660,C,120817,,127.53,125.8,127.6,-0.007,,6,91.223,0.144,53.649,-16.068,91.909,0.964,-1
,RUT 12I660,Sep 660 Calls,120620,16:00:00,660,C,120921,,130.57,128.1,131.9,-0.004,,40,86.651,0.175,85,-14.953,139.146,0.921,-1
,RUT 12L660,Dec 660 Calls,120620,16:00:00,660,C,121221,0.313,140.21,137.9,141.8,-0.003,,,79.089,0.18,153.413,-13.189,244.291,0.838,-1
,RUT 13C660,Mar13 660 Calls,120620,16:00:00,660,C,130315,0.306,147.49,143.4,150.8,-0.003,,1,74.824,0.171,200.008,-11.641,332.424,0.79,-1
,RUT 12S660,Jul 660 Puts,120620,16:00:00,660,P,120720,0.327,0.87,0.8,1,0.034,714,8150,-2.948,0.096,15.242,-8.259,-1.982,0.006,0.91
,RUT 12T660,Aug 660 Puts,120620,16:00:00,660,P,120817,0.324,4.05,3.8,4.3,0.002,392,433,-8.489,0.165,47.915,-13.332,-10.981,0.036,4.17
,RUT 12U660,Sep 660 Puts,120620,16:00:00,660,P,120921,0.322,9.01,8.6,9.4,-0.001,50,3282,-13.524,0.186,84.143,-14.515,-28.391,0.079,9.05
,RUT 12X660,Dec 660 Puts,120620,16:00:00,660,P,121221,0.326,23.07,22.2,23.8,-0.003,,1484,-21.293,0.179,156.218,-13.764,-91.116,0.162,-1
,RUT 13O660,Mar13 660 Puts,120620,16:00:00,660,P,130315,0.327,34.6,33.4,35.6,-0.003,,6,-23.918,0.169,204.301,-12.323,-158.851,0.21,-1
,RUT 12G665,Jul 665 Calls,120620,16:00:00,665,C,120720,,119.95,118.9,120.6,-0.002,,14,95.619,0.104,23.948,-14.289,51.125,0.992,-1
,RUT 12S665,Jul 665 Puts,120620,16:00:00,665,P,120720,0.322,0.99,0.9,1.15,0.03,157,1359,-3.346,0.108,16.917,-9.045,-2.25,0.008,1.02
,RUT 12G670,Jul 670 Calls,120620,16:00:00,670,C,120720,,115.12,114.1,115.8,-0.001,,27,95.202,0.114,25.696,-15.057,51.211,0.989,-1
,RUT 12H670,Aug 670 Calls,120620,16:00:00,670,C,120817,,118.25,116.6,118.3,-0.007,,22,89.972,0.165,59.022,-17.153,91.686,0.95,-1
,RUT 12I670,Sep 670 Calls,120620,16:00:00,670,C,120921,,121.72,117.4,125,-0.004,,17,85.078,0.193,91.784,-15.779,138.214,0.901,-1
,RUT 13C670,Mar13 670 Calls,120620,16:00:00,670,C,130315,0.302,139.82,135.8,143.3,-0.002,,,73.216,0.179,207.516,-11.928,329.188,0.768,-1
,RUT 12S670,Jul 670 Puts,120620,16:00:00,670,P,120720,0.316,1.12,1.05,1.2,0.009,346,5154,-3.797,0.121,18.756,-9.709,-2.553,0.011,1.14
,RUT 12T670,Aug 670 Puts,120620,16:00:00,670,P,120817,0.316,4.79,4.6,5,0.004,244,439,-9.964,0.19,53.987,-14.684,-12.906,0.05,4.92
,RUT 12U670,Sep 670 Puts,120620,16:00:00,670,P,120921,0.315,10.22,9.7,10.6,-0.008,10,1549,-15.213,0.205,91.213,-15.331,-31.996,0.099,9.84
,RUT 13O670,Mar13 670 Puts,120620,16:00:00,670,P,130315,0.322,36.87,35.8,38,0.001,,200,-25.514,0.177,211.145,-12.552,-168.904,0.232,-1
,RUT 12G675,Jul 675 Calls,120620,16:00:00,675,C,120720,,110.3,109.2,110.9,-0.002,,13,94.739,0.126,27.576,-15.865,51.262,0.986,-1
,RUT 12L675,Dec 675 Calls,120620,16:00:00,675,C,121221,0.306,128.03,125.9,129.8,-0.001,,144,76.604,0.197,164.378,-13.842,240.81,0.803,-1
