Existing Posn.,Symbol,Description,Date,Time,Strike Price,Call/Put,Exp.Date,Mid IV,Th.Price,Bid,Asked,Percent O/U,Volume,Open Interest,Delta,Gamma,Vega,Theta,Rho,Prob.Finish.ITM,Last
,RUT,RUT Index,150113,16:00:00,, ,,,,,,,,,1,0,,,,,1180.7
,RUT 15M960,Jan 960 Puts,150113,16:00:00,960,P,150116,,0,,0.05,,1,804,-0.001,0,0.005,-0.014,0,0,-1
,RUT 15M960D23,JanW4 960 Puts,150113,16:00:00,960,P,150123,,0.05,,0.2,,1,92,-0.145,0.005,1.178,-2.11,-0.062,0,-1
,RUT 15M960D30,JanW5 960 Puts,150113,16:00:00,960,P,150130,,0.3,0.05,0.45,-0.167,,215,-0.694,0.017,5.901,-6.568,-0.478,0,-1
,RUT 15N960D6,FebW1 960 Puts,150113,16:00:00,960,P,150206,0.389,0.75,0.45,1.05,0,,18,-1.446,0.029,12.89,-10.025,-1.374,0,-1
,RUT 15N960D13,FebW2 960 Puts,150113,16:00:00,960,P,150213,0.368,1.25,0.9,1.5,-0.04,,10,-2.177,0.039,20.228,-11.412,-2.614,0,-1
,RUT 15N960,Feb 960 Puts,150113,16:00:00,960,P,150220,0.341,1.41,1.3,1.5,0,49,1035,-2.606,0.047,24.107,-10.599,-3.502,0,1.7
10,RUT 15O960,Mar 960 Puts,150113,16:00:00,960,P,150320,0.328,4.87,4.3,5.2,-0.033,29,327,-5.782,0.07,62.798,-15.259,-14.448,0.002,3.82
,RUT 15O960D31,MarQ 960 Puts,,,960,P,150401,,0.48,,,,,,-1.84,0.06,17.551,-2.2,-3.181,0.004,
,RUT 15R960,Jun 960 Puts,150113,16:00:00,960,P,150619,0.3,17.14,16,16.9,-0.04,,15,-12.348,0.091,165.759,-15.508,-74.405,0.033,-1
,RUT 15R960D30,JunQ 960 Puts,,,960,P,150701,,4.48,,,,,,-8.91,0.139,97.291,-5.695,-35.272,0.038,
,RUT 15X960,Dec 960 Puts,150113,16:00:00,960,P,151218,0.28,39.18,36.8,39.7,-0.024,,33,-17.985,0.09,309.214,-12.378,-246.012,0.109,-1
,RUT 15M970,Jan 970 Puts,150113,16:00:00,970,P,150116,,0,,0.05,,2,726,-0.001,0,0.008,-0.02,0,0,-1
,RUT 15M970D23,JanW4 970 Puts,150113,16:00:00,970,P,150123,,0.06,0.05,0.2,,,20,-0.183,0.006,1.449,-2.555,-0.078,0,-1
,RUT 15M970D30,JanW5 970 Puts,150113,16:00:00,970,P,150130,0.404,0.35,0.25,0.55,0.143,12,41,-0.827,0.02,6.852,-8.275,-0.567,0,0.35
,RUT 15N970D6,FebW1 970 Puts,150113,16:00:00,970,P,150206,0.382,0.86,0.6,1.2,0.047,,29,-1.677,0.034,14.575,-11.482,-1.588,0,-1
,RUT 15N970D13,FebW2 970 Puts,150113,16:00:00,970,P,150213,0.359,1.42,0.95,1.75,-0.049,,18,-2.49,0.045,22.563,-12.405,-2.979,0,-1
,RUT 15N970,Feb 970 Puts,150113,16:00:00,970,P,150220,0.336,1.62,1.5,1.8,0.031,79,1510,-2.998,0.054,27.046,-11.913,-4.024,0,2.11
,RUT 15O970,Mar 970 Puts,150113,16:00:00,970,P,150320,0.323,5.35,4.8,5.7,-0.017,47,1386,-6.378,0.077,67.628,-16.308,-15.902,0.003,5.45
,RUT 15O970D31,MarQ 970 Puts,,,970,P,150401,,0.66,,,,,,-2.415,0.075,22.404,-2.816,-4.234,0.006,
,RUT 15R970,Jun 970 Puts,150113,16:00:00,970,P,150619,0.295,18.21,17.1,18.1,-0.033,,6,-13.156,0.097,172.904,-15.993,-79.15,0.04,-1
,RUT 15R970D30,JunQ 970 Puts,,,970,P,150701,,5.33,,,,,,-10.221,0.152,109.027,-6.386,-40.957,0.046,
,RUT 15X970,Dec 970 Puts,150113,16:00:00,970,P,151218,0.278,41,39.2,41.7,-0.013,,,-18.921,0.098,317.586,-12.665,-257.218,0.121,-1
,RUT 15M980,Jan 980 Puts,150113,16:00:00,980,P,150116,,0,,0.15,,2,1336,-0.002,0,0.011,-0.029,0,0,-1
,RUT 15M980D23,JanW4 980 Puts,150113,16:00:00,980,P,150123,,0.07,0.05,0.3,,,242,-0.233,0.008,1.789,-3.104,-0.098,0,-1
,RUT 15M980D30,JanW5 980 Puts,150113,16:00:00,980,P,150130,0.386,0.42,0.15,0.65,-0.048,,69,-0.989,0.024,7.969,-8.19,-0.675,0,-1
,RUT 15N980D6,FebW1 980 Puts,150113,16:00:00,980,P,150206,0.369,0.99,0.7,1.25,-0.03,1,44,-1.949,0.039,16.492,-11.983,-1.838,0,0.6
,RUT 15N980D13,FebW2 980 Puts,150113,16:00:00,980,P,150213,0.355,1.62,1.25,2,0.006,,17,-2.852,0.051,25.175,-14.162,-3.4,0,-1
,RUT 15N980,Feb 980 Puts,150113,16:00:00,980,P,150220,0.326,1.87,1.7,1.9,-0.032,138,2006,-3.45,0.062,30.323,-12.556,-4.625,0,2.05
,RUT 15O980,Mar 980 Puts,150113,16:00:00,980,P,150320,0.319,5.88,5.5,6.2,0.003,25,2727,-7.038,0.085,72.783,-17.562,-17.509,0.005,6.9
,RUT 15O980D31,MarQ 980 Puts,,,980,P,150401,,0.89,,,,,,-3.125,0.091,28.179,-3.551,-5.558,0.009,
,RUT 15R980,Jun 980 Puts,150113,16:00:00,980,P,150619,0.292,19.35,18.4,19.4,-0.023,,31,-14.016,0.103,180.227,-16.532,-84.197,0.049,-1
,RUT 15R980D30,JunQ 980 Puts,,,980,P,150701,,6.31,,,,,,-11.652,0.165,121.346,-7.112,-47.261,0.056,
,RUT 15X980,Dec 980 Puts,150113,16:00:00,980,P,151218,0.275,42.9,40.8,43.8,-0.014,,1,-19.902,0.102,325.971,-12.813,-268.903,0.135,-1
,RUT 15M990,Jan 990 Puts,150113,16:00:00,990,P,150116,,0,,0.05,,21,2364,-0.002,0,0.017,-0.044,0,0,0.05
,RUT 15M990D23,JanW4 990 Puts,150113,16:00:00,990,P,150123,0.433,0.09,0.1,0.25,,1,90,-0.297,0.01,2.214,-6.686,-0.124,0,-1
,RUT 15M990D30,JanW5 990 Puts,150113,16:00:00,990,P,150130,0.382,0.5,0.25,0.8,0.06,,128,-1.186,0.029,9.281,-10.244,-0.805,0,-1
,RUT 15N990D6,FebW1 990 Puts,150113,16:00:00,990,P,150206,0.365,1.14,0.9,1.5,0.053,,,-2.27,0.046,18.675,-14.171,-2.131,0,-1
,RUT 15N990D13,FebW2 990 Puts,150113,16:00:00,990,P,150213,0.345,1.84,1.45,2.15,-0.022,,34,-3.272,0.059,28.094,-15.119,-3.887,0,-1
,RUT 15N990,Feb 990 Puts,150113,16:00:00,990,P,150220,0.321,2.15,2,2.2,-0.019,187,3671,-3.972,0.071,33.968,-13.999,-5.319,0.001,2.25
-10,RUT 15O990,Mar 990 Puts,150113,16:00:00,990,P,150320,0.313,6.47,6,6.9,-0.002,336,1439,-7.77,0.093,78.271,-18.469,-19.283,0.007,6.65
,RUT 15O990D31,MarQ 990 Puts,,,990,P,150401,,1.19,,,,,,-3.99,0.11,34.937,-4.413,-7.198,0.012,
,RUT 15R990,Jun 990 Puts,150113,16:00:00,990,P,150619,0.288,20.57,19.8,20.8,-0.013,,20,-14.931,0.109,187.713,-17.067,-89.563,0.059,-1
,RUT 15R990D30,JunQ 990 Puts,,,990,P,150701,,7.43,,,,,,-13.204,0.178,134.165,-7.868,-54.204,0.067,
,RUT 15X990,Dec 990 Puts,150113,16:00:00,990,P,151218,0.273,44.9,43.2,45.9,-0.008,,,-20.923,0.107,334.345,-13.056,-281.075,0.149,-1
,RUT 15A1000,Jan 1000 Calls,150113,16:00:00,1000,C,150116,,180.56,179.5,183,0.004,,57,99.962,0.001,0.174,-0.322,8.209,1,-1
,RUT 15A1000D23,JanW4 1000 Calls,150113,16:00:00,1000,C,150123,,180.75,179.4,182.6,0.001,,,98.997,0.02,7.829,-16.58,26.849,1,-1
,RUT 15A1000D30,JanW5 1000 Calls,150113,16:00:00,1000,C,150130,,180.95,179.2,182.5,-0.001,,1,97.957,0.04,15.744,-17.7,45.034,1,-1
,RUT 15B1000D6,FebW1 1000 Calls,150113,16:00:00,1000,C,150206,,182.06,179.9,182.8,-0.004,,4,96.433,0.055,30.423,-24.592,61.805,1,-1
,RUT 15B1000D13,FebW2 1000 Calls,150113,16:00:00,1000,C,150213,,182.01,180.2,183.5,-0.001,,,95.575,0.069,36.631,-20.691,79.447,1,-1
,RUT 15B1000,Feb 1000 Calls,150113,16:00:00,1000,C,150220,,183.16,180.2,183.3,-0.01,6,20,94.574,0.072,50.312,-23.205,95.211,0.999,171
,RUT 15C1000,Mar 1000 Calls,150113,16:00:00,1000,C,150320,,186.22,182.9,185.8,-0.01,,9,91.216,0.092,90.951,-22.187,156.912,0.99,-1
,RUT 15C1000D31,MarQ 1000 Calls,,,1000,C,150401,,178.69,,,,,,94.668,0.13,42.717,-5.402,204.327,0.983,
,RUT 15F1000,Jun 1000 Calls,150113,16:00:00,1000,C,150619,0.276,195.5,192.8,195.7,-0.006,,71,83.329,0.118,194.19,-17.07,335.227,0.929,-1
,RUT 15F1000D30,JunQ 1000 Calls,,,1000,C,150701,,182.35,,,,,,84.468,0.191,147.385,-9.068,400.456,0.921,
,RUT 15I1000,Sep 1000 Calls,150113,16:00:00,1000,C,150918,0.267,204.76,202.2,205.7,-0.004,,1,79.135,0.114,274.063,-15.229,492.296,0.876,-1
,RUT 15L1000,Dec 1000 Calls,150113,16:00:00,1000,C,151218,0.256,211.93,209.6,212.9,-0.003,,153,76.593,0.108,336.675,-13.506,642.016,0.836,-1
,RUT 16F1000,Jun16 1000 Calls,150113,16:00:00,1000,C,160617,0.238,222.88,216.1,228.5,-0.003,,2,70.949,0.104,435.454,-11.159,927.186,0.783,-1
,RUT 15M1000,Jan 1000 Puts,150113,16:00:00,1000,P,150116,,0,,0.05,,120,4838,-0.004,0,0.025,-0.066,-0.001,0,0.05
,RUT 15M1000D23,JanW4 1000 Puts,150113,16:00:00,1000,P,150123,0.416,0.12,0.1,0.3,,153,441,-0.381,0.013,2.75,-7.267,-0.158,0,0.2
,RUT 15M1000D30,JanW5 1000 Puts,150113,16:00:00,1000,P,150130,0.374,0.59,0.35,0.95,0.102,,42,-1.426,0.035,10.823,-12.019,-0.963,0,-1
,RUT 15N1000D6,FebW1 1000 Puts,150113,16:00:00,1000,P,150206,0.356,1.32,1,1.75,0.045,,823,-2.649,0.054,21.155,-15.599,-2.476,0,-1
,RUT 15N1000D13,FebW2 1000 Puts,150113,16:00:00,1000,P,150213,0.337,2.1,1.6,2.5,-0.024,,116,-3.759,0.068,31.352,-16.53,-4.449,0,-1
,RUT 15N1000,Feb 1000 Puts,150113,16:00:00,1000,P,150220,0.315,2.48,2.3,2.55,-0.016,644,3723,-4.574,0.081,38.01,-15.394,-6.118,0.001,2.7
,RUT 15O1000,Mar 1000 Puts,150113,16:00:00,1000,P,150320,0.306,7.13,6.7,7.3,-0.01,375,4507,-8.579,0.102,84.097,-19.327,-21.243,0.01,8.34
,RUT 15O1000D31,MarQ 1000 Puts,,,1000,P,150401,,1.58,,,,,,-5.028,0.13,42.717,-5.408,-9.203,0.017,
,RUT 15R1000,Jun 1000 Puts,150113,16:00:00,1000,P,150619,0.285,21.88,21.3,22.2,-0.006,,1348,-15.905,0.116,195.344,-17.598,-95.266,0.071,-1
,RUT 15R1000D30,JunQ 1000 Puts,,,1000,P,150701,,8.69,,,,,,-14.876,0.191,147.385,-8.647,-61.804,0.079,
,RUT 15U1000,Sep 1000 Puts,150113,16:00:00,1000,P,150918,0.275,36.07,34,35.9,-0.031,,893,-18.213,0.111,278.571,-15.127,-191.486,0.124,-1
,RUT 15X1000,Dec 1000 Puts,150113,16:00:00,1000,P,151218,0.27,47.01,45.6,48.2,-0.002,,2041,-21.986,0.111,342.68,-13.259,-293.745,0.164,-1
,RUT 16R1000,Jun16 1000 Puts,150113,16:00:00,1000,P,160617,0.269,69.26,66.9,71.1,-0.004,,170,-25.138,0.097,447.867,-10.838,-525.387,0.217,-1
,RUT 15A1010,Jan 1010 Calls,150113,16:00:00,1010,C,150116,,170.56,169.5,172.8,0.003,,,99.952,0.002,0.227,-0.526,8.29,1,-1
,RUT 15A1010D23,JanW4 1010 Calls,150113,16:00:00,1010,C,150123,,170.82,169.5,172.4,0.001,,,98.834,0.024,8.844,-18.23,27.042,1,-1
,RUT 15A1010D30,JanW5 1010 Calls,150113,16:00:00,1010,C,150130,,171.1,169.7,172.7,0.001,,,97.637,0.046,17.712,-19.432,45.27,1,-1
