Existing Posn.,Symbol,Description,Date,Time,Strike Price,Call/Put,Exp.Date,Mid IV,Th.Price,Bid,Asked,Percent O/U,Volume,Open Interest,Delta,Gamma,Vega,Theta,Rho,Prob.Finish.ITM,Last
,RUT,RUT Index,110513,16:00:00,, ,,,,,,,,,1,0,,,,,835.7
,RUT 11R685,Jun 685 Puts,110513,16:00:00,685,P,110617,0.333,0.9,0.5,1.15,-0.078,,1315,-2.589,0.072,15.716,-6.952,-2.167,0,-1
,RUT 11U685,Sep 685 Puts,110513,16:00:00,685,P,110916,0.321,11.37,10.6,11.7,-0.019,,53,-13.823,0.156,104.399,-13.163,-41.626,0.036,-1
,RUT 11Q690,May 690 Puts,110513,16:00:00,690,P,110520,,0.02,,0.2,,4020,7360,-0.08,0.004,0.434,-1.032,-0.018,0,-1
,RUT 11R690,Jun 690 Puts,110513,16:00:00,690,P,110617,0.34,1,0.95,1.3,0.12,66,5788,-2.879,0.08,17.165,-8.751,-2.41,0,1.03
,RUT 11S690,Jul 690 Puts,110513,16:00:00,690,P,110715,0.312,3.33,2.8,3.5,-0.054,106,585,-6.733,0.128,44.58,-10.672,-10.055,0.007,3.18
,RUT 11U690,Sep 690 Puts,110513,16:00:00,690,P,110916,0.318,11.97,11.3,12.1,-0.023,,255,-14.505,0.162,107.953,-13.454,-43.724,0.042,-1
,RUT 11X690,Dec 690 Puts,110513,16:00:00,690,P,111216,0.323,25.28,23.8,26,-0.015,,344,-19.544,0.152,175.765,-12.895,-110.399,0.096,-1
,RUT 12O690,Mar12 690 Puts,110513,16:00:00,690,P,120316,0.323,36.32,35,37.4,-0.003,,4,-22.503,0.139,225.401,-11.498,-184.349,0.138,-1
,RUT 11R695,Jun 695 Puts,110513,16:00:00,695,P,110617,0.335,1.11,1.05,1.4,0.099,21,654,-3.202,0.089,18.738,-9.302,-2.68,0.001,1.06
,RUT 11U695,Sep 695 Puts,110513,16:00:00,695,P,110916,0.314,12.6,11.7,12.7,-0.032,,25,-15.216,0.169,111.561,-13.703,-45.916,0.048,-1
,RUT 11Q700,May 700 Puts,110513,16:00:00,700,P,110520,,0.02,0.05,0.1,,113,10869,-0.115,0.006,0.599,-1.398,-0.026,0,0.05
,RUT 11R700,Jun 700 Puts,110513,16:00:00,700,P,110617,0.321,1.24,0.85,1.5,-0.048,4550,8499,-3.561,0.098,20.444,-8.941,-2.98,0.001,1.24
,RUT 11S700,Jul 700 Puts,110513,16:00:00,700,P,110715,0.307,3.92,3.5,4.1,-0.031,232,673,-7.86,0.147,50.221,-11.969,-11.753,0.011,3.82
,RUT 11U700,Sep 700 Puts,110513,16:00:00,700,P,110916,0.313,13.26,12.7,13.4,-0.014,2,4189,-15.957,0.175,115.218,-14.206,-48.205,0.055,13.7
,RUT 11X700,Dec 700 Puts,110513,16:00:00,700,P,111216,0.318,27.05,26.3,27.1,-0.013,6,7375,-20.988,0.166,182.932,-13.191,-118.039,0.114,26.7
,RUT 12O700,Mar12 700 Puts,110513,16:00:00,700,P,120316,0.318,38.53,37.7,39.1,-0.004,275,326,-23.876,0.149,232.644,-11.691,-195.118,0.158,38.08
,RUT 11F705,Jun 705 Calls,110513,16:00:00,705,C,110617,,131.53,127.9,132.1,-0.012,,1,95.535,0.096,27.672,-13.303,63.194,0.998,-1
,RUT 11I705,Sep 705 Calls,110513,16:00:00,705,C,110916,,140.34,137.6,141.8,-0.005,,30,83.359,0.178,117.763,-14.522,193.324,0.937,-1
,RUT 11R705,Jun 705 Puts,110513,16:00:00,705,P,110617,0.32,1.38,1.3,1.5,0.007,8,1102,-3.96,0.108,22.291,-10.071,-3.315,0.002,1.15
,RUT 11U705,Sep 705 Puts,110513,16:00:00,705,P,110916,0.31,13.95,13.3,14.2,-0.014,,61,-16.729,0.182,118.918,-14.537,-50.594,0.063,-1
,RUT 11E710,May 710 Calls,110513,16:00:00,710,C,110520,,125.56,123,126.4,-0.007,,442,99.612,0.013,2.098,-5.521,13.503,1,-1
,RUT 11F710,Jun 710 Calls,110513,16:00:00,710,C,110617,,126.7,123.1,127.3,-0.012,,31,95.149,0.105,29.52,-13.971,63.301,0.998,-1
,RUT 11G710,Jul 710 Calls,110513,16:00:00,710,C,110715,,128.43,125.2,129.4,-0.009,,,90.983,0.153,57.654,-13.866,108.306,0.982,-1
,RUT 11I710,Sep 710 Calls,110513,16:00:00,710,C,110916,,136.04,133.5,137.4,-0.004,,145,82.574,0.185,121.497,-14.842,192.589,0.929,-1
,RUT 11L710,Dec 710 Calls,110513,16:00:00,710,C,111216,0.302,147.09,144.5,148.6,-0.004,,300,76.481,0.173,187.701,-13.411,298.251,0.865,-1
,RUT 12C710,Mar12 710 Calls,110513,16:00:00,710,C,120316,0.295,155.26,152.6,157.5,-0.001,,,72.901,0.16,235.683,-11.933,398.632,0.821,-1
,RUT 11Q710,May 710 Puts,110513,16:00:00,710,P,110520,,0.03,0.05,0.1,,88,5335,-0.169,0.009,0.838,-1.915,-0.037,0,0.03
,RUT 11R710,Jun 710 Puts,110513,16:00:00,710,P,110617,0.315,1.54,1.45,1.6,-0.013,55,7347,-4.404,0.119,24.286,-10.709,-3.686,0.002,1.48
,RUT 11S710,Jul 710 Puts,110513,16:00:00,710,P,110715,0.302,4.6,4.2,5,0,187,1976,-9.165,0.168,56.383,-13.471,-13.721,0.018,4.68
,RUT 11U710,Sep 710 Puts,110513,16:00:00,710,P,110916,0.308,14.68,14.1,14.9,-0.012,,28,-17.533,0.189,122.654,-14.865,-53.086,0.071,-1
,RUT 11X710,Dec 710 Puts,110513,16:00:00,710,P,111216,0.314,28.97,27.6,30.1,-0.004,,661,-22.525,0.175,190.105,-13.566,-126.169,0.135,-1
,RUT 12O710,Mar12 710 Puts,110513,16:00:00,710,P,120316,0.315,40.87,40.4,41.6,0.003,,9,-25.314,0.156,239.785,-11.92,-206.408,0.179,-1
,RUT 11F715,Jun 715 Calls,110513,16:00:00,715,C,110617,,121.88,118.9,122.4,-0.01,,23,94.725,0.115,31.493,-14.671,63.373,0.997,-1
,RUT 11I715,Sep 715 Calls,110513,16:00:00,715,C,110916,0.298,131.78,129.3,133.2,-0.004,,21,81.755,0.192,125.266,-14.773,191.746,0.92,-1
,RUT 11R715,Jun 715 Puts,110513,16:00:00,715,P,110617,0.311,1.71,1.65,1.75,-0.006,,1675,-4.898,0.132,26.439,-11.518,-4.099,0.003,-1
,RUT 11U715,Sep 715 Puts,110513,16:00:00,715,P,110916,0.305,15.45,14.9,15.8,-0.006,,108,-18.37,0.196,126.42,-15.233,-55.685,0.08,-1
,RUT 11E720,May 720 Calls,110513,16:00:00,720,C,110520,,115.59,113.3,116.6,-0.006,,96,99.499,0.018,2.614,-6.689,13.665,1,-1
,RUT 11F720,Jun 720 Calls,110513,16:00:00,720,C,110617,,117.08,113.5,117.7,-0.013,,442,94.257,0.125,33.599,-15.403,63.405,0.995,-1
,RUT 11G720,Jul 720 Calls,110513,16:00:00,720,C,110715,,119.19,116.1,120.3,-0.008,,,89.614,0.175,63.985,-15.02,107.851,0.972,-1
,RUT 11I720,Sep 720 Calls,110513,16:00:00,720,C,110916,0.296,127.56,125.1,129.1,-0.004,,193,80.902,0.2,129.063,-15.171,190.792,0.91,-1
,RUT 11L720,Dec 720 Calls,110513,16:00:00,720,C,111216,0.298,139.2,136.7,140.9,-0.003,,275,74.895,0.181,195.189,-13.785,295.309,0.842,-1
,RUT 12C720,Mar12 720 Calls,110513,16:00:00,720,C,120316,0.292,147.86,145.2,150.1,-0.001,,,71.363,0.166,243.354,-12.161,394.559,0.799,-1
,RUT 11Q720,May 720 Puts,110513,16:00:00,720,P,110520,,0.05,0.05,0.1,,71,20769,-0.251,0.014,1.183,-2.649,-0.055,0,0.06
,RUT 11R720,Jun 720 Puts,110513,16:00:00,720,P,110617,0.309,1.91,1.8,2.15,0.031,4539,7964,-5.446,0.145,28.755,-12.726,-4.558,0.005,1.84
,RUT 11S720,Jul 720 Puts,110513,16:00:00,720,P,110715,0.296,5.41,5.1,5.8,0.007,518,750,-10.67,0.192,63.056,-14.811,-15.995,0.028,5.4
,RUT 11U720,Sep 720 Puts,110513,16:00:00,720,P,110916,0.304,16.25,15.7,16.9,0.006,142,599,-19.241,0.203,130.207,-15.681,-58.393,0.09,17.2
,RUT 11X720,Dec 720 Puts,110513,16:00:00,720,P,111216,0.309,31.03,30.5,31.4,-0.003,,856,-24.154,0.185,197.234,-13.835,-134.807,0.158,-1
,RUT 12O720,Mar12 720 Puts,110513,16:00:00,720,P,120316,0.311,43.35,42.2,44.9,0.005,,53,-26.814,0.162,246.78,-12.11,-218.227,0.201,-1
,RUT 11F725,Jun 725 Calls,110513,16:00:00,725,C,110617,,112.3,109.1,112.9,-0.012,,38,93.742,0.137,35.844,-16.167,63.394,0.993,-1
,RUT 11I725,Sep 725 Calls,110513,16:00:00,725,C,110916,0.294,123.37,120.9,125.1,-0.003,,12,80.014,0.207,132.88,-15.521,189.723,0.899,-1
,RUT 12C725,Mar12 725 Calls,110513,16:00:00,725,C,120316,0.29,144.22,141.5,146.4,-0.002,,,70.573,0.169,247.103,-12.269,392.32,0.787,-1
