Existing Posn.,Symbol,Description,Date,Time,Strike Price,Call/Put,Exp.Date,Mid IV,Th.Price,Bid,Asked,Percent O/U,Volume,Open Interest,Delta,Gamma,Vega,Theta,Rho,Prob.Finish.ITM,Last
,SPX,SPX Index,120611,16:00:00,, ,,,,,,,,,1,0,,,,,1309
,SPX 12R1060,Jun 1060 Puts,120611,16:00:00,1060,P,120615,,0,,0.05,,,2994,-0.01,0,0.074,-0.239,-0.002,0,-1
,SPX 12S1060,Jul 1060 Puts,120611,16:00:00,1060,P,120720,0.35,1.79,1.1,2.5,0.006,,261,-3.292,0.058,28.964,-12.807,-4.333,0.001,-1
,SPX 12T1060,Aug 1060 Puts,120611,16:00:00,1060,P,120817,0.337,5.81,5,6.6,-0.014,12,20,-7.005,0.082,72.109,-17.898,-16.898,0.007,4.4
,SPX 12R1065,Jun 1065 Puts,120611,16:00:00,1065,P,120615,,0,,0.05,,,5166,-0.011,0,0.083,-0.267,-0.002,0,-1
,SPX 12S1065,Jul 1065 Puts,120611,16:00:00,1065,P,120720,0.348,1.9,1.25,2.65,0.026,,222,-3.491,0.062,30.428,-13.514,-4.599,0.001,-1
,SPX 12R1070,Jun 1070 Puts,120611,16:00:00,1070,P,120615,,0,,0.05,,,2407,-0.012,0,0.092,-0.297,-0.003,0,-1
,SPX 12S1070,Jul 1070 Puts,120611,16:00:00,1070,P,120720,0.345,2.01,1.35,2.75,0.02,,247,-3.702,0.065,31.963,-13.996,-4.883,0.001,-1
,SPX 12R1075,Jun 1075 Puts,120611,16:00:00,1075,P,120615,,0,,0.05,,200,43338,-0.014,0.001,0.104,-0.332,-0.003,0,-1
,SPX 12S1075,Jul 1075 Puts,120611,16:00:00,1075,P,120720,0.341,2.14,1.5,2.85,0.009,1548,14407,-3.927,0.069,33.571,-14.496,-5.184,0.001,1.85
,SPX 12T1075,Aug 1075 Puts,120611,16:00:00,1075,P,120817,0.331,6.59,5.8,7.4,0.003,2925,4046,-7.938,0.092,79.473,-19.535,-19.181,0.011,6.8
,SPX 12U1075,Sep 1075 Puts,120611,16:00:00,1075,P,120921,0.318,12.53,11.6,13.6,0.003,51,16629,-11.342,0.099,129.843,-20.202,-43.522,0.032,12
,SPX 12W1075,Nov 1075 Puts,120611,16:00:00,1075,P,121116,0.313,23.63,22.3,24.9,-0.001,,15,-16.055,0.106,202.764,-19.999,-96.5,0.072,-1
,SPX 12X1075,Dec 1075 Puts,120611,16:00:00,1075,P,121221,0.309,29.83,28.5,31.4,0.001,200,19421,-17.951,0.105,240.288,-19.092,-133.225,0.095,28
,SPX 13O1075,Mar13 1075 Puts,120611,16:00:00,1075,P,130315,0.306,45.87,43.4,47.7,-0.007,,1465,-20.32,0.092,320.488,-17.497,-236.078,0.142,-1
,SPX 12R1080,Jun 1080 Puts,120611,16:00:00,1080,P,120615,,0,,0.05,,,2312,-0.016,0.001,0.116,-0.372,-0.003,0,-1
,SPX 12S1080,Jul 1080 Puts,120611,16:00:00,1080,P,120720,0.339,2.27,1.6,3,0.013,10,7975,-4.165,0.073,35.255,-15.191,-5.504,0.002,2.25
,SPX 12T1080,Aug 1080 Puts,120611,16:00:00,1080,P,120817,0.327,6.87,6.1,7.7,-0.007,6,26,-8.277,0.096,82.068,-19.843,-20.01,0.012,5.3
,SPX 12R1085,Jun 1085 Puts,120611,16:00:00,1085,P,120615,,0,,0.05,,5,3744,-0.018,0.001,0.131,-0.417,-0.004,0,-1
,SPX 12S1085,Jul 1085 Puts,120611,16:00:00,1085,P,120720,0.336,2.41,1.7,3.2,0.008,200,399,-4.418,0.077,37.017,-15.73,-5.845,0.002,2
,SPX 12F1090,Jun 1090 Calls,120611,16:00:00,1090,C,120615,,219.35,218.2,221,0.001,,,99.409,0.009,5.282,-42.096,11.711,1,-1
,SPX 12G1090,Jul 1090 Calls,120611,16:00:00,1090,C,120720,,220.54,218.1,222.1,-0.002,,9,93.942,0.081,51.02,-24.096,107.551,0.998,-1
,SPX 12R1090,Jun 1090 Puts,120611,16:00:00,1090,P,120615,,0.01,,0.05,,,3915,-0.02,0.001,0.147,-0.469,-0.004,0,-1
,SPX 12S1090,Jul 1090 Puts,120611,16:00:00,1090,P,120720,0.333,2.56,1.9,3.3,0.012,200,3631,-4.686,0.081,38.861,-16.381,-6.207,0.002,2.3
