Existing Posn.,Symbol,Description,Date,Time,Strike Price,Call/Put,Exp.Date,Mid IV,Th.Price,Bid,Asked,Percent O/U,Volume,Open Interest,Delta,Gamma,Vega,Theta,Rho,Prob.Finish.ITM,Last
,RUT,RUT Index,101214,16:00:00,, ,,,,,,,,,1,0,,,,,771.8
,RUT 10X620,Dec 620 Puts,101214,16:00:00,620,P,101217,,0.02,,0.05,,21,21359,-0.035,0.001,0.257,-1.626,-0.007,0,-1
,RUT 11M620,Jan11 620 Puts,101214,16:00:00,620,P,110121,0.33,0.57,0.4,0.7,-0.035,225,9261,-1.847,0.058,11.282,-4.639,-1.533,0,0.54
,RUT 11N620,Feb11 620 Puts,101214,16:00:00,620,P,110218,0.337,2.86,2.55,3.1,-0.014,7,351,-5.605,0.107,37.69,-9.475,-8.468,0.002,2.64
,RUT 11O620,Mar11 620 Puts,101214,16:00:00,620,P,110318,0.337,5.94,5.5,6.2,-0.015,,1217,-8.851,0.129,63.528,-11.252,-19.325,0.008,-1
,RUT 11R620,Jun11 620 Puts,101214,16:00:00,620,P,110617,0.336,16.88,16.2,17.1,-0.014,,1031,-16.34,0.152,130.918,-11.681,-69.168,0.044,-1
,RUT 11U620,Sep11 620 Puts,101214,16:00:00,620,P,110916,0.336,27.4,26.3,27.9,-0.011,,23,-19.73,0.14,181.334,-10.742,-131.154,0.082,-1
,RUT 11O625,Mar11 625 Puts,101214,16:00:00,625,P,110318,0.333,6.31,5.7,6.6,-0.025,,12,-9.409,0.137,66.448,-11.556,-20.54,0.01,-1
,RUT 10X630,Dec 630 Puts,101214,16:00:00,630,P,101217,,0.02,,0.05,,25,16171,-0.043,0.001,0.301,-1.84,-0.008,0,-1
,RUT 11M630,Jan11 630 Puts,101214,16:00:00,630,P,110121,0.324,0.73,0.6,0.9,0.027,411,2860,-2.347,0.073,13.813,-5.852,-1.948,0,0.75
,RUT 11N630,Feb11 630 Puts,101214,16:00:00,630,P,110218,0.328,3.35,2.95,3.6,-0.027,10,557,-6.544,0.124,42.501,-10.342,-9.882,0.004,3
,RUT 11O630,Mar11 630 Puts,101214,16:00:00,630,P,110318,0.331,6.72,6.4,7,-0.003,,420,-10.001,0.144,69.464,-12.174,-21.828,0.012,-1
