Existing Posn.,Symbol,Description,Date,Time,Strike Price,Call/Put,Exp.Date,Mid IV,Th.Price,Bid,Asked,Percent O/U,Volume,Open Interest,Delta,Gamma,Vega,Theta,Rho,Prob.Finish.ITM,Last
,RUT,RUT Index,160204,16:00:00,, ,,,,,,,,,1,0,,,,,1014.7
,RUT 16N790,Feb 790 Puts,160204,16:00:00,790,P,160219,,0.05,0.05,0.25,,,772,-0.189,0.007,1.235,-1.557,-0.08,0,-1
,RUT 16N790D29,FebM 790 Puts,160204,16:00:00,790,P,160229,0.402,0.22,0.1,0.45,0.273,,,-0.708,0.022,4.823,-4.309,-0.46,0.001,-1
,RUT 16O790,Mar 790 Puts,160204,16:00:00,790,P,160318,0.386,1.27,1.2,1.55,0.079,4,306,-2.674,0.054,19.975,-9.192,-3.052,0.008,1.31
,RUT 16P790,Apr 790 Puts,160204,16:00:00,790,P,160415,0.36,3.58,2.75,4.4,0,,80,-5.439,0.078,46.265,-11.592,-10.542,0.031,-1
,RUT 16P790D29,AprM 790 Puts,160204,16:00:00,790,P,160429,0.355,5.06,4.2,5.8,-0.012,,,-6.744,0.085,60.397,-12.39,-15.933,0.045,-1
,RUT 16R790,Jun 790 Puts,160204,16:00:00,790,P,160617,0.337,10.2,9.1,10.8,-0.025,,25,-10.274,0.098,104.364,-12.826,-39.227,0.089,-1
,RUT 16U790,Sep 790 Puts,160204,16:00:00,790,P,160916,0.315,19.55,17.2,19.9,-0.051,,,-13.873,0.097,172.395,-11.639,-95.991,0.151,-1
,RUT 16X790,Dec 790 Puts,160204,16:00:00,790,P,161216,0.306,28.44,23.5,30.9,-0.044,,10,-15.595,0.089,228.648,-10.615,-164.332,0.193,-1
,RUT 16N800,Feb 800 Puts,160204,16:00:00,800,P,160219,,0.06,0.05,0.25,,,1395,-0.245,0.009,1.566,-1.946,-0.104,0,-1
,RUT 16N800D29,FebM 800 Puts,160204,16:00:00,800,P,160229,0.396,0.28,0.15,0.55,0.25,,2,-0.88,0.027,5.851,-5.155,-0.573,0.001,-1
,RUT 16O800,Mar 800 Puts,160204,16:00:00,800,P,160318,0.377,1.48,1.35,1.75,0.047,60,6224,-3.103,0.061,22.656,-10.004,-3.55,0.011,1.51
,RUT 16P800,Apr 800 Puts,160204,16:00:00,800,P,160415,0.357,4.04,3.5,4.8,0.027,,1813,-6.1,0.086,50.736,-12.758,-11.849,0.039,-1
,RUT 16P800D29,AprM 800 Puts,160204,16:00:00,800,P,160429,0.35,5.64,4.8,6.4,-0.007,,25,-7.474,0.093,65.479,-13.297,-17.693,0.053,-1
,RUT 16R800,Jun 800 Puts,160204,16:00:00,800,P,160617,0.332,11.09,10,11.7,-0.022,,384,-11.126,0.105,110.728,-13.471,-42.555,0.101,-1
,RUT 16U800,Sep 800 Puts,160204,16:00:00,800,P,160916,0.312,20.8,18.4,21.5,-0.041,,268,-14.747,0.103,179.755,-12.047,-102.1,0.163,-1
,RUT 16X800,Dec 800 Puts,160204,16:00:00,800,P,161216,0.304,29.96,25.3,32.7,-0.032,,1467,-16.438,0.093,236.486,-10.924,-173.143,0.205,-1
,RUT 16B810,Feb 810 Calls,160204,16:00:00,810,C,160219,,204.32,200.9,205.8,-0.005,,20,99.671,0.01,1.79,-2.641,33.141,1,-1
,RUT 16B810D29,FebM 810 Calls,160204,16:00:00,810,C,160229,,204.17,200.5,205.1,-0.007,,,99.139,0.026,5.189,-4,54.933,0.998,-1
,RUT 16C810,Mar 810 Calls,160204,16:00:00,810,C,160318,,205,200.8,205.5,-0.009,,46,96.71,0.061,24.236,-10.547,91.48,0.985,-1
,RUT 16D810,Apr 810 Calls,160204,16:00:00,810,C,160415,,205.8,201.4,206.1,-0.01,,,94.336,0.086,45.99,-10.923,146.972,0.953,-1
,RUT 16D810D29,AprM 810 Calls,160204,16:00:00,810,C,160429,,207.63,203.1,207.7,-0.011,,,92.703,0.089,65.696,-13.354,170.653,0.937,-1
,RUT 16F810,Jun 810 Calls,160204,16:00:00,810,C,160617,,209.51,205.2,210.7,-0.007,,1,89.271,0.113,101.511,-11.917,259.468,0.887,-1
,RUT 16I810,Sep 810 Calls,160204,16:00:00,810,C,160916,,214.67,209,217.6,-0.006,,,84.467,0.123,166.604,-11.047,407.987,0.823,-1
,RUT 16L810,Dec 810 Calls,160204,16:00:00,810,C,161216,0.261,219.76,214.5,224.4,-0.001,,,81.582,0.118,221.058,-10.125,545.239,0.782,-1
,RUT 16N810,Feb 810 Puts,160204,16:00:00,810,P,160219,,0.08,0.05,0.3,,,549,-0.319,0.012,1.987,-2.433,-0.135,0,-1
,RUT 16N810D29,FebM 810 Puts,160204,16:00:00,810,P,160229,0.384,0.35,0.2,0.6,0.143,,,-1.093,0.033,7.088,-5.688,-0.714,0.002,-1
,RUT 16O810,Mar 810 Puts,160204,16:00:00,810,P,160318,0.368,1.73,1.45,2,0,,753,-3.599,0.07,25.657,-10.762,-4.127,0.015,-1
,RUT 16P810,Apr 810 Puts,160204,16:00:00,810,P,160415,0.35,4.55,3.9,5.3,0.011,,219,-6.835,0.096,55.546,-13.63,-13.308,0.047,-1
,RUT 16P810D29,AprM 810 Puts,160204,16:00:00,810,P,160429,0.345,6.28,5.4,7.1,-0.005,,,-8.277,0.102,70.876,-14.186,-19.634,0.063,-1
,RUT 16R810,Jun 810 Puts,160204,16:00:00,810,P,160617,0.328,12.05,11.1,12.7,-0.012,,89,-12.042,0.113,117.329,-14.125,-46.142,0.113,-1
,RUT 16U810,Sep 810 Puts,160204,16:00:00,810,P,160916,0.31,22.13,20.3,23.1,-0.019,,,-15.669,0.108,187.252,-12.564,-108.563,0.177,-1
,RUT 16X810,Dec 810 Puts,160204,16:00:00,810,P,161216,0.3,31.57,27.1,34.2,-0.029,,2,-17.407,0.109,244.4,-11.139,-182.381,0.218,-1
,RUT 16B820,Feb 820 Calls,160204,16:00:00,820,C,160219,,194.34,190.9,195.8,-0.005,,4,99.586,0.014,2.277,-3.19,33.515,1,-1
,RUT 16B820D29,FebM 820 Calls,160204,16:00:00,820,C,160229,,194.23,190.6,195.1,-0.007,,,98.927,0.032,6.434,-4.781,55.479,0.996,-1
,RUT 16C820,Mar 820 Calls,160204,16:00:00,820,C,160318,,195.25,190.8,195.7,-0.01,,28,96.215,0.07,27.354,-11.633,92.047,0.979,-1
,RUT 16D820,Apr 820 Calls,160204,16:00:00,820,C,160415,,196.27,191.6,196.8,-0.011,,,93.586,0.097,51.05,-11.897,147.446,0.943,-1
,RUT 16D820D29,AprM 820 Calls,160204,16:00:00,820,C,160429,,198.23,193.7,198.6,-0.01,,,91.93,0.098,71.166,-14.189,171.02,0.926,-1
,RUT 16F820,Jun 820 Calls,160204,16:00:00,820,C,160617,,200.44,196.2,201.7,-0.007,,3,88.261,0.122,108.94,-12.589,259.336,0.874,-1
,RUT 16I820,Sep 820 Calls,160204,16:00:00,820,C,160916,0.265,206.09,200.8,209.1,-0.006,,,83.323,0.13,175.731,-11.012,406.803,0.81,-1
,RUT 16L820,Dec 820 Calls,160204,16:00:00,820,C,161216,0.256,211.57,205.5,216,-0.004,,,80.422,0.124,231.06,-10.337,543.037,0.769,-1
,RUT 16N820,Feb 820 Puts,160204,16:00:00,820,P,160219,0.437,0.11,0.15,0.3,,,646,-0.416,0.015,2.521,-5.561,-0.176,0,-1
,RUT 16N820D29,FebM 820 Puts,160204,16:00:00,820,P,160229,0.374,0.43,0.3,0.65,0.116,,30,-1.357,0.04,8.569,-6.537,-0.888,0.004,-1
,RUT 16O820,Mar 820 Puts,160204,16:00:00,820,P,160318,0.362,2.02,1.85,2.25,0.015,25,1051,-4.171,0.081,29.006,-12.101,-4.795,0.021,2.12
,RUT 16P820,Apr 820 Puts,160204,16:00:00,820,P,160415,0.343,5.13,4.3,5.9,-0.006,,478,-7.653,0.106,60.7,-14.481,-14.934,0.057,-1
,RUT 16P820D29,AprM 820 Puts,160204,16:00:00,820,P,160429,0.339,6.99,6.2,7.6,-0.013,,,-9.159,0.111,76.589,-15.047,-21.771,0.074,-1
,RUT 16R820,Jun 820 Puts,160204,16:00:00,820,P,160617,0.323,13.1,11.9,13.8,-0.019,,27,-13.025,0.12,124.155,-14.69,-50.002,0.126,-1
,RUT 16U820,Sep 820 Puts,160204,16:00:00,820,P,160916,0.306,23.55,21.6,24.8,-0.015,,23,-16.643,0.114,194.867,-12.93,-115.394,0.19,-1
,RUT 16X820,Dec 820 Puts,160204,16:00:00,820,P,161216,0.3,33.27,30.4,36.1,-0.001,,,-18.487,0.115,252.392,-11.591,-192.099,0.231,-1
,RUT 16B830,Feb 830 Calls,160204,16:00:00,830,C,160219,,184.37,181,185.8,-0.005,,3,99.474,0.018,2.896,-3.877,33.877,0.999,-1
,RUT 16B830D29,FebM 830 Calls,160204,16:00:00,830,C,160229,,184.32,180.4,185.1,-0.009,,,98.659,0.04,7.955,-5.719,55.987,0.994,-1
,RUT 16C830,Mar 830 Calls,160204,16:00:00,830,C,160318,,185.54,180.9,185.5,-0.013,,4,95.64,0.08,30.835,-12.818,92.516,0.973,-1
,RUT 16D830,Apr 830 Calls,160204,16:00:00,830,C,160415,,186.81,182.8,187.4,-0.009,,,92.741,0.108,56.528,-12.931,147.73,0.932,-1
,RUT 16D830D29,AprM 830 Calls,160204,16:00:00,830,C,160429,,188.91,184.5,189.3,-0.011,,,91.075,0.108,76.981,-15.056,171.178,0.913,-1
,RUT 16F830,Jun 830 Calls,160204,16:00:00,830,C,160617,,191.46,187.4,192.8,-0.007,,5,87.169,0.131,116.666,-13.273,258.872,0.859,-1
,RUT 16I830,Sep 830 Calls,160204,16:00:00,830,C,160916,0.264,197.62,192.6,200.8,-0.005,,21,82.113,0.137,184.994,-11.57,405.156,0.795,-1
,RUT 16L830,Dec 830 Calls,160204,16:00:00,830,C,161216,0.256,203.48,197.7,208.4,-0.002,,,79.211,0.129,241.078,-10.757,540.288,0.756,-1
,RUT 16N830,Feb 830 Puts,160204,16:00:00,830,P,160219,0.41,0.14,0.1,0.3,,57,961,-0.543,0.02,3.197,-5.073,-0.23,0.001,0.14
,RUT 16N830D29,FebM 830 Puts,160204,16:00:00,830,P,160229,0.36,0.54,0.35,0.7,-0.037,,105,-1.683,0.049,10.339,-6.905,-1.105,0.006,-1
,RUT 16O830,Mar 830 Puts,160204,16:00:00,830,P,160318,0.353,2.35,2,2.6,-0.021,,5164,-4.831,0.092,32.728,-13.076,-5.568,0.027,-1
,RUT 16P830,Apr 830 Puts,160204,16:00:00,830,P,160415,0.338,5.78,4.9,6.6,-0.005,,337,-8.56,0.116,66.202,-15.561,-16.744,0.068,-1
,RUT 16P830D29,AprM 830 Puts,160204,16:00:00,830,P,160429,0.334,7.78,6.9,8.5,-0.01,,8,-10.127,0.121,82.611,-15.997,-24.122,0.087,-1
,RUT 16R830,Jun 830 Puts,160204,16:00:00,830,P,160617,0.32,14.23,13.4,15,-0.002,,27,-14.079,0.128,131.19,-15.503,-54.153,0.141,-1
,RUT 16U830,Sep 830 Puts,160204,16:00:00,830,P,160916,0.303,25.05,23.4,26.5,-0.004,,16,-17.67,0.12,202.58,-13.364,-122.609,0.205,-1
,RUT 16X830,Dec 830 Puts,160204,16:00:00,830,P,161216,0.296,35.08,32.2,37.6,-0.005,,2,-19.62,0.12,260.438,-11.77,-202.313,0.244,-1
,RUT 16B840,Feb 840 Calls,160204,16:00:00,840,C,160219,,174.41,171.1,176,-0.005,,4,99.326,0.023,3.684,-4.734,34.224,0.999,-1
,RUT 16B840D29,FebM 840 Calls,160204,16:00:00,840,C,160229,,174.42,170.7,175.3,-0.008,,,98.32,0.05,9.805,-6.84,56.448,0.991,-1
,RUT 16C840,Mar 840 Calls,160204,16:00:00,840,C,160318,,175.89,173.3,174.6,-0.011,,25,94.976,0.092,34.707,-14.107,92.874,0.965,-1
,RUT 16D840,Apr 840 Calls,160204,16:00:00,840,C,160415,,177.42,173.3,177.9,-0.01,,5,91.793,0.121,62.433,-14.023,147.802,0.919,-1
,RUT 16D840D29,AprM 840 Calls,160204,16:00:00,840,C,160429,,179.66,175.4,180.1,-0.011,,,90.13,0.118,83.14,-15.952,171.107,0.899,-1
,RUT 16F840,Jun 840 Calls,160204,16:00:00,840,C,160617,,182.58,178.8,184.2,-0.006,,5,85.988,0.141,124.664,-13.966,258.057,0.844,-1
,RUT 16I840,Sep 840 Calls,160204,16:00:00,840,C,160916,0.265,189.26,185.3,192.6,-0.002,,,80.837,0.144,194.354,-12.274,403.028,0.781,-1
,RUT 16L840,Dec 840 Calls,160204,16:00:00,840,C,161216,0.255,195.52,190.2,200.6,-0.001,,,77.949,0.135,251.072,-11.169,536.983,0.742,-1
,RUT 16N840,Feb 840 Puts,160204,16:00:00,840,P,160219,0.399,0.19,0.15,0.35,0.316,136,1114,-0.71,0.026,4.053,-6.104,-0.3,0.001,0.26
