Existing Posn.,Symbol,Description,Date,Time,Strike Price,Call/Put,Exp.Date,Mid IV,Th.Price,Bid,Asked,Percent O/U,Volume,Open Interest,Delta,Gamma,Vega,Theta,Rho,Prob.Finish.ITM,Last
,SPX,SPX Index,161215,16:00:00,, ,,,,,,,,,1,0,,,,,2262
,SPX 16X1870,Dec 1870 Puts,161215,16:00:00,1870,P,161216,,0,,0.05,,,3091,0,0,0,0,0,0,-1
,SPX 17M1870,Jan17 1870 Puts,161215,16:00:00,1870,P,170120,0.277,0.97,0.75,1.15,-0.021,,800,-0.715,0.007,24.882,-9.144,-3.117,0,-1
,SPX 17M1870D31,Jan17M 1870 Puts,161215,16:00:00,1870,P,170131,0.262,1.54,1.55,1.7,0.058,,42,-1.14,0.011,38.414,-10.824,-5.807,0,-1
,SPX 17N1870,Feb17 1870 Puts,161215,16:00:00,1870,P,170217,0.247,3.02,2.6,3.2,-0.04,,301,-2.092,0.017,67.822,-12.441,-13.067,0,-1
,SPX 17N1870D28,Feb17M 1870 Puts,161215,16:00:00,1870,P,170228,0.24,3.92,3.7,4,-0.02,121,,-2.597,0.02,85.328,-13.18,-18.457,0,3.7
,SPX 17O1870,Mar17 1870 Puts,161215,16:00:00,1870,P,170317,0.238,6.52,5.8,6.6,-0.049,,1355,-3.748,0.026,124.666,-15.413,-32.25,0,-1
,SPX 16X1875,Dec 1875 Puts,161215,16:00:00,1875,P,161216,,0,,0.05,,,60904,0,0,0,0,0,0,-1
,SPX 17M1875,Jan17 1875 Puts,161215,16:00:00,1875,P,170120,0.272,0.99,0.8,1,-0.091,,9743,-0.739,0.007,25.503,-8.717,-3.207,0,-1
,SPX 17M1875D31,Jan17M 1875 Puts,161215,16:00:00,1875,P,170131,0.259,1.57,1.55,1.7,0.038,,775,-1.177,0.011,39.372,-10.791,-5.978,0,-1
,SPX 17N1875,Feb17 1875 Puts,161215,16:00:00,1875,P,170217,0.245,3.1,2.7,3.3,-0.032,,1336,-2.156,0.018,69.4,-12.747,-13.434,0,-1
,SPX 17N1875D28,Feb17M 1875 Puts,161215,16:00:00,1875,P,170228,0.238,4.02,3.8,4.1,-0.02,144,423,-2.676,0.021,87.254,-13.382,-18.968,0,3.8
,SPX 17O1875,Mar17 1875 Puts,161215,16:00:00,1875,P,170317,0.237,6.66,6.1,6.8,-0.032,,16940,-3.851,0.026,127.133,-15.842,-33.056,0,-1
