Existing Posn.,Symbol,Description,Date,Time,Strike Price,Call/Put,Exp.Date,Mid IV,Th.Price,Bid,Asked,Percent O/U,Volume,Open Interest,Delta,Gamma,Vega,Theta,Rho,Prob.Finish.ITM,Last
,SPX,SPX Index,160201,16:00:00,, ,,,,,,,,,1,0,,,,,1939.3
,SPX 16N1515,Feb 1515 Puts,160201,16:00:00,1515,P,160219,0.445,0.08,0.15,0.55,,,405,-0.16,0.003,2.401,-7.871,-0.168,0,-1
,SPX 16N1515D29,FebM 1515 Puts,,,1515,P,160229,,0.31,,,,,,-0.502,0.008,7.924,-4.691,-0.776,0,
,SPX 16O1515,Mar 1515 Puts,160201,16:00:00,1515,P,160318,0.344,1.77,1.45,2.05,-0.011,,1100,-1.997,0.023,32.915,-11.86,-5.001,0.003,-1
,SPX 16P1515,Apr 1515 Puts,,,1515,P,160415,,4.94,,,,,,-4.072,0.034,76.684,-16.575,-17,0.014,
,SPX 16P1515D29,AprM 1515 Puts,,,1515,P,160429,,6.93,,,,,,-5.005,0.037,100.373,-17.943,-25.565,0.022,
,SPX 16Q1515,May 1515 Puts,,,1515,P,160520,,9.97,,,,,,-6.444,0.042,134.392,-18.897,-40.454,0.036,
,SPX 16R1515,Jun 1515 Puts,,,1515,P,160617,,14.66,,,,,,-7.967,0.045,180.522,-19.782,-65.23,0.055,
,SPX 16U1515,Sep 1515 Puts,,,1515,P,160916,,28.45,,,,,,-11.552,0.049,305.435,-18.662,-162.291,0.112,
,SPX 16X1515,Dec 1515 Puts,,,1515,P,161216,,40.44,,,,,,-14.319,0.05,407.317,-16.68,-276.558,0.154,
,SPX 16N1520,Feb 1520 Puts,160201,16:00:00,1520,P,160219,0.439,0.09,0.15,0.55,,1,927,-0.169,0.003,2.529,-7.668,-0.178,0,0.2
,SPX 16N1520D29,FebM 1520 Puts,160201,16:00:00,1520,P,160229,0.365,0.33,0.4,0.55,0.455,,3,-0.528,0.009,8.286,-6.705,-0.816,0,-1
,SPX 16O1520,Mar 1520 Puts,160201,16:00:00,1520,P,160318,0.341,1.84,1.5,2.05,-0.033,,47,-2.071,0.024,33.96,-11.99,-5.189,0.003,-1
,SPX 16P1520,Apr 1520 Puts,160201,16:00:00,1520,P,160415,0.321,5.09,4.6,5.3,-0.028,,8,-4.195,0.035,78.549,-16.594,-17.511,0.015,-1
