Existing Posn.,Symbol,Description,Date,Time,Strike Price,Call/Put,Exp.Date,Mid IV,Th.Price,Bid,Asked,Percent O/U,Volume,Open Interest,Delta,Gamma,Vega,Theta,Rho,Prob.Finish.ITM,Last
,RUT,RUT Index,150107,16:00:00,, ,,,,,,,,,1,0,,,,,1176
,RUT 15M930,Jan 930 Puts,150107,16:00:00,930,P,150116,,0.04,,0.2,,,646,-0.104,0.003,0.967,-2.206,-0.048,0,-1
,RUT 15N930,Feb 930 Puts,150107,16:00:00,930,P,150220,0.362,1.67,1.5,1.75,-0.018,44,975,-2.583,0.041,26.357,-10.557,-4.166,0,1.89
,RUT 15O930,Mar 930 Puts,150107,16:00:00,930,P,150320,0.344,4.68,4.2,4.8,-0.038,,962,-5.295,0.061,59.775,-13.911,-14.082,0.001,-1
,RUT 15X930,Dec 930 Puts,150107,16:00:00,930,P,151218,0.292,36.37,34.7,36.4,-0.023,,110,-16.367,0.081,292.02,-11.961,-226.659,0.089,-1
,RUT 15X935,Dec 935 Puts,150107,16:00:00,935,P,151218,0.291,37.19,35.6,37.3,-0.02,,,-16.786,0.087,296.123,-12.092,-231.746,0.094,-1
,RUT 15M940,Jan 940 Puts,150107,16:00:00,940,P,150116,,0.05,0.05,0.2,,10,509,-0.123,0.003,1.125,-2.514,-0.056,0,0.1
,RUT 15N940,Feb 940 Puts,150107,16:00:00,940,P,150220,0.355,1.87,1.7,1.95,-0.027,354,752,-2.911,0.046,29.058,-11.367,-4.686,0,1.8
,RUT 15O940,Mar 940 Puts,150107,16:00:00,940,P,150320,0.341,5.12,4.6,5.5,-0.012,16,370,-5.812,0.067,64.224,-14.991,-15.434,0.002,5.27
,RUT 15X940,Dec 940 Puts,150107,16:00:00,940,P,151218,0.29,38.03,36.6,38.2,-0.017,,,-17.221,0.089,300.243,-12.222,-236.944,0.1,-1
,RUT 15X945,Dec 945 Puts,150107,16:00:00,945,P,151218,0.289,38.89,37.6,39.2,-0.013,,,-17.665,0.091,304.378,-12.352,-242.253,0.105,-1
,RUT 15M950,Jan 950 Puts,150107,16:00:00,950,P,150116,,0.06,0.05,0.2,,,801,-0.148,0.004,1.315,-2.877,-0.067,0,-1
,RUT 15N950,Feb 950 Puts,150107,16:00:00,950,P,150220,0.348,2.1,1.95,2.15,-0.024,416,1579,-3.283,0.052,32.032,-12.311,-5.275,0,2.11
,RUT 15O950,Mar 950 Puts,150107,16:00:00,950,P,150320,0.335,5.6,5.1,6,-0.007,27,3016,-6.382,0.073,68.964,-15.911,-16.921,0.003,5.75
,RUT 15R950,Jun 950 Puts,150107,16:00:00,950,P,150619,0.308,18.33,17.3,17.9,-0.038,1,1482,-12.604,0.09,170.119,-15.766,-78.663,0.036,18.5
,RUT 15U950,Sep 950 Puts,150107,16:00:00,950,P,150918,0.295,30,28.4,29.6,-0.033,,465,-15.569,0.087,247.032,-14.007,-159.091,0.076,-1
,RUT 15X950,Dec 950 Puts,150107,16:00:00,950,P,151218,0.289,39.77,38.6,41.4,0.006,,995,-18.119,0.093,308.523,-12.58,-247.675,0.111,-1
,RUT 15X955,Dec 955 Puts,150107,16:00:00,955,P,151218,0.286,40.68,39.6,41.2,-0.007,,25,-18.582,0.095,312.678,-12.576,-253.211,0.117,-1
,RUT 15A960,Jan 960 Calls,150107,16:00:00,960,C,150116,,215.57,213.2,216.1,-0.004,,30,99.912,0.002,0.453,-0.42,23.635,1,-1
,RUT 15B960,Feb 960 Calls,150107,16:00:00,960,C,150220,,216.35,213.6,216.8,-0.005,,4,96.356,0.052,35.985,-13.733,109.561,1,-1
,RUT 15C960,Mar 960 Calls,150107,16:00:00,960,C,150320,,218.85,215.8,218.4,-0.008,,2,93.348,0.07,74.213,-16.899,170.603,0.995,-1
,RUT 15F960,Jun 960 Calls,150107,16:00:00,960,C,150619,,226.13,223,226.5,-0.006,,,86.174,0.1,169.057,-15.493,350.661,0.956,-1
,RUT 15L960,Dec 960 Calls,150107,16:00:00,960,C,151218,0.261,239.06,237,240.6,-0.001,,,79.369,0.099,302.884,-12.406,665.916,0.877,-1
,RUT 15M960,Jan 960 Puts,150107,16:00:00,960,P,150116,,0.07,0.05,0.2,,17,760,-0.178,0.005,1.544,-3.306,-0.08,0,0.2
,RUT 15N960,Feb 960 Puts,150107,16:00:00,960,P,150220,0.342,2.36,2.2,2.45,-0.013,284,777,-3.706,0.058,35.302,-13.405,-5.943,0,2.33
,RUT 15O960,Mar 960 Puts,150107,16:00:00,960,P,150320,0.331,6.14,5.7,6.6,0.01,1,306,-7.008,0.08,74.004,-17.017,-18.553,0.005,7.1
,RUT 15R960,Jun 960 Puts,150107,16:00:00,960,P,150619,0.304,19.42,18.5,19.2,-0.029,,15,-13.391,0.095,177.105,-16.277,-83.454,0.044,-1
,RUT 15X960,Dec 960 Puts,150107,16:00:00,960,P,151218,0.283,41.61,39.1,42.2,-0.023,,33,-19.054,0.097,316.838,-12.537,-258.862,0.123,-1
,RUT 15L965,Dec 965 Calls,150107,16:00:00,965,C,151218,0.26,235.07,232.9,236.6,-0.001,,,78.882,0.101,307.651,-12.535,664.442,0.87,-1
,RUT 15X965,Dec 965 Puts,150107,16:00:00,965,P,151218,0.284,42.56,41.7,43.2,-0.003,,,-19.537,0.099,321.002,-12.796,-264.63,0.13,-1
,RUT 15A970,Jan 970 Calls,150107,16:00:00,970,C,150116,,205.57,203.3,206.3,-0.004,,27,99.896,0.003,0.579,-0.62,23.875,1,-1
,RUT 15B970,Feb 970 Calls,150107,16:00:00,970,C,150220,,206.62,204,207.1,-0.005,,,95.933,0.058,39.354,-14.719,110.052,0.999,-1
,RUT 15C970,Mar 970 Calls,150107,16:00:00,970,C,150320,,209.38,206.1,209,-0.009,,,92.75,0.077,79.2,-17.692,170.907,0.993,-1
,RUT 15F970,Jun 970 Calls,150107,16:00:00,970,C,150619,,217.31,214.5,218,-0.005,,,85.276,0.106,176.766,-15.971,349.86,0.947,-1
,RUT 15L970,Dec 970 Calls,150107,16:00:00,970,C,151218,0.259,231.09,229,232.7,-0.001,,,78.385,0.103,312.409,-12.663,662.847,0.864,-1
,RUT 15M970,Jan 970 Puts,150107,16:00:00,970,P,150116,,0.08,0.05,0.2,,35,633,-0.216,0.006,1.821,-3.815,-0.096,0,0.2
,RUT 15N970,Feb 970 Puts,150107,16:00:00,970,P,150220,0.336,2.66,2.5,2.75,-0.011,105,1466,-4.186,0.066,38.892,-14.584,-6.701,0.001,2.7
,RUT 15O970,Mar 970 Puts,150107,16:00:00,970,P,150320,0.325,6.73,6.3,7.2,0.004,202,1180,-7.697,0.087,79.351,-17.866,-20.346,0.007,6.9
,RUT 15R970,Jun 970 Puts,150107,16:00:00,970,P,150619,0.3,20.57,19.5,20.6,-0.025,,6,-14.227,0.1,184.256,-16.683,-88.538,0.053,-1
,RUT 15X970,Dec 970 Puts,150107,16:00:00,970,P,151218,0.282,43.53,41.2,45.5,-0.004,,,-20.028,0.101,325.166,-12.887,-270.515,0.136,-1
,RUT 15L975,Dec 975 Calls,150107,16:00:00,975,C,151218,0.258,227.14,224.9,228.9,-0.001,,24,77.879,0.105,317.155,-12.788,661.129,0.857,-1
,RUT 15X975,Dec 975 Puts,150107,16:00:00,975,P,151218,0.282,44.53,43.9,45.4,0.003,,75,-20.53,0.103,329.326,-13.044,-276.519,0.143,-1
,RUT 15A980,Jan 980 Calls,150107,16:00:00,980,C,150116,,195.58,192.8,196.6,-0.004,,13,99.873,0.004,0.744,-0.877,24.113,1,-1
,RUT 15B980,Feb 980 Calls,150107,16:00:00,980,C,150220,,196.93,194.3,197.5,-0.005,,10,95.453,0.066,43.042,-15.774,110.45,0.999,-1
,RUT 15C980,Mar 980 Calls,150107,16:00:00,980,C,150320,,199.96,197.2,199.4,-0.008,,10,92.09,0.084,84.493,-18.511,171.048,0.99,-1
,RUT 15F980,Jun 980 Calls,150107,16:00:00,980,C,150619,0.281,208.57,206.1,209.5,-0.004,,,84.322,0.112,184.64,-16.029,348.728,0.937,-1
,RUT 15L980,Dec 980 Calls,150107,16:00:00,980,C,151218,0.256,223.21,220.9,224.9,-0.001,,4,77.365,0.107,321.886,-12.912,659.288,0.85,-1
,RUT 15M980,Jan 980 Puts,150107,16:00:00,980,P,150116,0.477,0.1,0.1,0.3,,11,1354,-0.263,0.008,2.158,-8.05,-0.116,0,0.23
,RUT 15N980,Feb 980 Puts,150107,16:00:00,980,P,150220,0.329,3,2.85,3.1,-0.007,143,1841,-4.731,0.074,42.824,-15.765,-7.559,0.001,3
,RUT 15O980,Mar 980 Puts,150107,16:00:00,980,P,150320,0.318,7.38,6.9,7.7,-0.007,31,2342,-8.455,0.095,85.01,-18.666,-22.314,0.01,7.83
,RUT 15R980,Jun 980 Puts,150107,16:00:00,980,P,150619,0.297,21.8,21.2,22,-0.009,,31,-15.115,0.106,191.558,-17.294,-93.93,0.063,-1
,RUT 15X980,Dec 980 Puts,150107,16:00:00,980,P,151218,0.28,45.56,45,46.5,0.004,,1,-21.041,0.105,333.481,-13.133,-282.642,0.15,-1
,RUT 15L985,Dec 985 Calls,150107,16:00:00,985,C,151218,0.256,219.31,217.6,220.9,0,,,76.841,0.109,326.598,-13.1,657.323,0.843,-1
,RUT 15X985,Dec 985 Puts,150107,16:00:00,985,P,151218,0.28,46.61,46.1,48.3,0.013,,,-21.562,0.107,337.626,-13.286,-288.886,0.157,-1
,RUT 15A990,Jan 990 Calls,150107,16:00:00,990,C,150116,,185.59,183.8,186.6,-0.002,,30,99.843,0.005,0.959,-1.212,24.348,1,-1
,RUT 15B990,Feb 990 Calls,150107,16:00:00,990,C,150220,,187.28,184.8,187.9,-0.005,,,94.908,0.074,47.076,-16.899,110.743,0.998,-1
,RUT 15C990,Mar 990 Calls,150107,16:00:00,990,C,150320,,190.59,188,190.3,-0.008,,,91.363,0.092,90.1,-19.356,171.008,0.986,-1
,RUT 15F990,Jun 990 Calls,150107,16:00:00,990,C,150619,0.276,199.92,197.3,200.8,-0.004,,,83.309,0.119,192.66,-16.447,347.246,0.926,-1
,RUT 15L990,Dec 990 Calls,150107,16:00:00,990,C,151218,0.27,215.43,213.3,227.1,0.022,,6,76.308,0.111,331.286,-14.181,655.233,0.835,-1
,RUT 15M990,Jan 990 Puts,150107,16:00:00,990,P,150116,0.461,0.12,0.15,0.3,,48,2371,-0.323,0.009,2.57,-9.017,-0.141,0,0.25
,RUT 15N990,Feb 990 Puts,150107,16:00:00,990,P,150220,0.322,3.38,3.2,3.5,-0.006,62,3002,-5.35,0.083,47.121,-17.027,-8.532,0.002,3.6
,RUT 15O990,Mar 990 Puts,150107,16:00:00,990,P,150320,0.313,8.1,7.6,8.6,0,199,1257,-9.287,0.104,90.982,-19.723,-24.473,0.014,8.14
