Existing Posn.,Symbol,Description,Date,Time,Strike Price,Call/Put,Exp.Date,Mid IV,Th.Price,Bid,Asked,Percent O/U,Volume,Open Interest,Delta,Gamma,Vega,Theta,Rho,Prob.Finish.ITM,Last
,RUT,RUT Index,160216,16:00:00,, ,,,,,,,,,1,0,,,,,995.7
,RUT 16N750,Feb 750 Puts,160216,16:00:00,750,P,160219,,0,,0.05,,8,517,-0.004,0,0.026,-0.125,-0.001,0,0.26
,RUT 16O750,Mar 750 Puts,160216,16:00:00,750,P,160318,0.447,0.57,0.5,0.7,0.053,395,1526,-1.389,0.033,9.249,-6.673,-1.08,0.001,0.58
,RUT 16P750,Apr 750 Puts,160216,16:00:00,750,P,160415,0.406,2.37,2.1,2.7,0.013,95,507,-3.966,0.063,30.939,-10.568,-5.987,0.011,2.46
,RUT 16R750,Jun 750 Puts,160216,16:00:00,750,P,160617,0.373,8.75,7.9,9,-0.034,,732,-9.174,0.091,86.513,-12.91,-29.842,0.056,-1
,RUT 16U750,Sep 750 Puts,160216,16:00:00,750,P,160916,0.344,17.53,15.5,17.9,-0.047,,212,-13.012,0.093,151.042,-11.827,-79.127,0.116,-1
,RUT 16X750,Dec 750 Puts,160216,16:00:00,750,P,161216,0.332,25.67,21.9,28.5,-0.018,28,265,-15.3,0.089,204.525,-10.882,-139.452,0.16,25.46
,RUT 16N760,Feb 760 Puts,160216,16:00:00,760,P,160219,,0,,0.15,,,211,-0.005,0,0.032,-0.153,-0.001,0,-1
,RUT 16O760,Mar 760 Puts,160216,16:00:00,760,P,160318,0.441,0.67,0.6,0.85,0.09,27,537,-1.637,0.038,10.686,-7.77,-1.276,0.001,0.76
,RUT 16P760,Apr 760 Puts,160216,16:00:00,760,P,160415,0.4,2.7,2.4,3.1,0.019,36,135,-4.48,0.07,34.246,-11.58,-6.782,0.014,2.72
,RUT 16R760,Jun 760 Puts,160216,16:00:00,760,P,160617,0.368,9.54,8.6,9.7,-0.041,,68,-9.95,0.097,92.094,-13.523,-32.451,0.065,-1
,RUT 16U760,Sep 760 Puts,160216,16:00:00,760,P,160916,0.342,18.7,16.9,19.4,-0.029,,,-13.843,0.099,157.905,-12.36,-84.335,0.127,-1
,RUT 16X760,Dec 760 Puts,160216,16:00:00,760,P,161216,0.328,27.17,23.3,30.2,-0.015,,4,-16.147,0.093,212.187,-11.159,-147.396,0.172,-1
,RUT 16N770,Feb 770 Puts,160216,16:00:00,770,P,160219,,0,,0.1,,,327,-0.007,0,0.04,-0.189,-0.001,0,-1
