Existing Posn.,Symbol,Description,Date,Time,Strike Price,Call/Put,Exp.Date,Mid IV,Th.Price,Bid,Asked,Percent O/U,Volume,Open Interest,Delta,Gamma,Vega,Theta,Rho,Prob.Finish.ITM,Last
,RUT,RUT Index,140815,16:00:00,, ,,,,,,,,,1,0,,,,,1141.6
,RUT 14T940,Aug 940 Puts,140815,16:00:00,940,P,140815,,0,,,,,567,0,0,0,0,0,,-1
,RUT 14U940,Sep 940 Puts,140815,16:00:00,940,P,140919,0.311,0.75,0.6,1.05,0.107,608,1667,-1.389,0.028,16.112,-7.43,-2.092,0,0.93
,RUT 14V940,Oct 940 Puts,140815,16:00:00,940,P,141017,0.278,2.4,1.95,2.85,0,92,413,-3.616,0.056,43.29,-9.443,-8.812,0.001,2.43
,RUT 14X940,Dec 940 Puts,140815,16:00:00,940,P,141219,0.26,8.12,7.7,8.4,-0.009,,2040,-9.031,0.097,112.072,-11.444,-39.49,0.011,-1
,RUT 14X945,Dec 945 Puts,140815,16:00:00,945,P,141219,0.258,8.52,8.1,8.8,-0.008,,24,-9.462,0.101,115.937,-11.751,-41.364,0.013,-1
,RUT 14T950,Aug 950 Puts,140815,16:00:00,950,P,140815,,0,,,,,3284,0,0,0,0,0,,-1
,RUT 14U950,Sep 950 Puts,140815,16:00:00,950,P,140919,0.304,0.86,0.85,1.1,0.14,1401,7772,-1.623,0.033,18.268,-8.337,-2.426,0,1
,RUT 14V950,Oct 950 Puts,140815,16:00:00,950,P,141017,0.271,2.71,2.25,3,-0.03,516,863,-4.114,0.064,47.841,-10.026,-9.981,0.001,2.74
,RUT 14X950,Dec 950 Puts,140815,16:00:00,950,P,141219,0.257,8.94,8.5,9.4,0.004,10,3395,-9.913,0.105,119.891,-12.177,-43.321,0.015,9.5
,RUT 14X955,Dec 955 Puts,140815,16:00:00,955,P,141219,0.254,9.38,8.9,9.7,-0.009,,179,-10.383,0.109,123.933,-12.377,-45.366,0.018,-1
,RUT 14T960,Aug 960 Puts,140815,16:00:00,960,P,140815,,0,,,,,1566,0,0,0,0,0,,-1
,RUT 14U960,Sep 960 Puts,140815,16:00:00,960,P,140919,0.295,1,1,1.2,0.1,1250,3487,-1.903,0.039,20.742,-9.069,-2.821,0,1.13
