Existing Posn.,Symbol,Description,Date,Time,Strike Price,Call/Put,Exp.Date,Mid IV,Th.Price,Bid,Asked,Percent O/U,Volume,Open Interest,Delta,Gamma,Vega,Theta,Rho,Prob.Finish.ITM,Last
,RUT,RUT Index,161005,16:00:00,, ,,,,,,,,,1,0,,,,,1248.4
,RUT 16V1020,Oct 1020 Puts,161005,16:00:00,1020,P,161021,,0.07,0.05,0.2,,10,1135,-0.179,0.005,2.11,-2.046,-0.144,0,0.2
,RUT 16W1020,Nov 1020 Puts,161005,16:00:00,1020,P,161118,0.309,1.47,1.3,1.55,-0.027,,845,-2.355,0.039,27.61,-9.322,-4.315,0,-1
,RUT 16X1020,Dec 1020 Puts,161005,16:00:00,1020,P,161216,0.287,3.75,3.4,3.8,-0.04,55,240,-4.406,0.054,59.82,-11.544,-13.685,0,3.7
,RUT 17O1020,Mar17 1020 Puts,161005,16:00:00,1020,P,170317,0.267,14.23,11.4,15.5,-0.055,,21,-10.035,0.077,165.095,-13.036,-72.026,0.014,-1
,RUT 16V1030,Oct 1030 Puts,161005,16:00:00,1030,P,161021,,0.09,,0.35,,,2890,-0.218,0.006,2.505,-2.376,-0.174,0,-1
,RUT 16W1030,Nov 1030 Puts,161005,16:00:00,1030,P,161118,0.303,1.67,1.5,1.8,-0.018,26,738,-2.68,0.044,30.644,-10.231,-4.892,0,1.47
,RUT 16X1030,Dec 1030 Puts,161005,16:00:00,1030,P,161216,0.281,4.12,3.6,4.3,-0.044,42,420,-4.874,0.06,64.574,-12.165,-15.078,0.001,3.74
,RUT 17O1030,Mar17 1030 Puts,161005,16:00:00,1030,P,170317,0.263,15.11,12.4,16.3,-0.05,,23,-10.72,0.082,172.51,-13.461,-76.673,0.019,-1
,RUT 16V1040,Oct 1040 Puts,161005,16:00:00,1040,P,161021,0.369,0.1,0.1,0.45,,26,4064,-0.268,0.007,2.985,-6.28,-0.212,0,0.14
,RUT 16W1040,Nov 1040 Puts,161005,16:00:00,1040,P,161118,0.298,1.89,1.75,2,-0.005,,802,-3.054,0.05,34.012,-11.298,-5.554,0,-1
,RUT 16X1040,Dec 1040 Puts,161005,16:00:00,1040,P,161216,0.277,4.53,4.1,4.7,-0.029,,1054,-5.397,0.067,69.692,-13.042,-16.625,0.001,-1
,RUT 17O1040,Mar17 1040 Puts,161005,16:00:00,1040,P,170317,0.259,16.04,13.5,17.4,-0.037,,59,-11.455,0.088,180.17,-13.944,-81.638,0.024,-1
,RUT 16J1050,Oct 1050 Calls,161005,16:00:00,1050,C,161021,,197.93,195.3,199.6,-0.002,,34,99.586,0.009,4.221,-4.379,45.679,1,-1
,RUT 16K1050,Nov 1050 Calls,161005,16:00:00,1050,C,161118,,199.45,196.1,200.4,-0.006,,7,96.372,0.05,43.193,-15.333,118.963,1,-1
,RUT 16L1050,Dec 1050 Calls,161005,16:00:00,1050,C,161216,,200.51,197.4,201.6,-0.005,,1282,94.046,0.071,73.861,-14.344,188.969,0.998,-1
,RUT 17A1050,Jan17 1050 Calls,161005,16:00:00,1050,C,170120,,202.85,200.1,203.4,-0.005,,,91.259,0.086,115.898,-14.408,269.61,0.99,-1
,RUT 17C1050,Mar17 1050 Calls,161005,16:00:00,1050,C,170317,0.241,207.16,204,209.4,-0.002,,2,86.95,0.104,177.404,-13.686,388.631,0.969,-1
,RUT 17F1050,Jun17 1050 Calls,161005,16:00:00,1050,C,170616,0.238,215.7,210.9,219.9,-0.001,,483,82.247,0.107,265.353,-13.27,561.012,0.93,-1
,RUT 17I1050,Sep17 1050 Calls,161005,16:00:00,1050,C,170915,0.234,223.6,217.7,229,-0.001,,1,79.407,0.101,335.925,-12.43,721.261,0.896,-1
,RUT 16V1050,Oct 1050 Puts,161005,16:00:00,1050,P,161021,0.352,0.12,0.1,0.45,,22,2638,-0.33,0.009,3.569,-6.234,-0.259,0,0.12
,RUT 16W1050,Nov 1050 Puts,161005,16:00:00,1050,P,161118,0.292,2.14,2,2.25,-0.005,118,1829,-3.484,0.057,37.745,-12.297,-6.311,0,2.13
,RUT 16X1050,Dec 1050 Puts,161005,16:00:00,1050,P,161216,0.271,4.98,4.5,5.2,-0.026,,2709,-5.98,0.074,75.19,-13.811,-18.343,0.002,-1
,RUT 17M1050,Jan17 1050 Puts,161005,16:00:00,1050,P,170120,0.263,9.37,8.8,9.6,-0.019,1,,-8.742,0.086,121.729,-14.687,-40.498,0.01,8.99
,RUT 17O1050,Mar17 1050 Puts,161005,16:00:00,1050,P,170317,0.255,17.05,15.4,17.4,-0.04,2,345,-12.244,0.094,188.066,-14.317,-86.944,0.031,15.8
,RUT 17R1050,Jun17 1050 Puts,161005,16:00:00,1050,P,170616,0.252,29.25,25.8,32,-0.012,,2386,-16.599,0.099,275.709,-13.313,-179.033,0.07,-1
,RUT 17U1050,Sep17 1050 Puts,161005,16:00:00,1050,P,170915,0.25,40.66,37,43.9,-0.005,,281,-18.971,0.093,346.903,-12.144,-283.624,0.104,-1
,RUT 16J1060,Oct 1060 Calls,161005,16:00:00,1060,C,161021,,187.96,185.4,189.2,-0.004,,104,99.51,0.011,4.948,-4.946,46.055,1,-1
,RUT 16K1060,Nov 1060 Calls,161005,16:00:00,1060,C,161118,,189.73,186.3,190.2,-0.008,,,95.957,0.056,46.954,-16.237,119.341,1,-1
,RUT 16L1060,Dec 1060 Calls,161005,16:00:00,1060,C,161216,,191,187.6,191.8,-0.007,,13,93.418,0.079,79.703,-15.146,189.065,0.996,-1
,RUT 17C1060,Mar17 1060 Calls,161005,16:00:00,1060,C,170317,0.238,198.31,194.8,200.9,-0.002,,,85.989,0.112,186.463,-14.168,387.061,0.961,-1
,RUT 16V1060,Oct 1060 Puts,161005,16:00:00,1060,P,161021,0.331,0.15,0.15,0.35,,72,1458,-0.409,0.012,4.283,-5.826,-0.318,0,0.21
,RUT 16W1060,Nov 1060 Puts,161005,16:00:00,1060,P,161118,0.285,2.43,2.25,2.55,-0.012,9,1036,-3.978,0.066,41.876,-13.29,-7.179,0,2.43
,RUT 16X1060,Dec 1060 Puts,161005,16:00:00,1060,P,161216,0.267,5.49,5.2,5.7,-0.011,62,2924,-6.631,0.082,81.086,-14.854,-20.252,0.004,5
,RUT 17O1060,Mar17 1060 Puts,161005,16:00:00,1060,P,170317,0.251,18.12,16.6,18.5,-0.031,,3,-13.122,0.108,196.187,-14.746,-92.615,0.039,-1
,RUT 16J1070,Oct 1070 Calls,161005,16:00:00,1070,C,161021,,178,175.4,179.7,-0.003,,73,99.415,0.014,5.826,-5.611,46.417,1,-1
,RUT 16K1070,Nov 1070 Calls,161005,16:00:00,1070,C,161118,,180.04,176.7,180.8,-0.007,,1,95.482,0.064,51.079,-17.201,119.61,0.999,-1
,RUT 16L1070,Dec 1070 Calls,161005,16:00:00,1070,C,161216,,181.55,178.3,182.4,-0.007,,104,92.715,0.088,85.962,-15.982,188.95,0.994,-1
,RUT 17C1070,Mar17 1070 Calls,161005,16:00:00,1070,C,170317,0.234,189.55,186.2,192,-0.002,,,84.959,0.119,195.742,-14.649,385.067,0.951,-1
,RUT 16V1070,Oct 1070 Puts,161005,16:00:00,1070,P,161021,,0.19,,0.55,1.158,196,2355,-0.509,0.015,5.158,-4.468,-0.392,0,0.26
,RUT 16W1070,Nov 1070 Puts,161005,16:00:00,1070,P,161118,0.279,2.76,2.6,2.9,-0.007,273,1791,-4.547,0.075,46.436,-14.449,-8.173,0.001,2.6
,RUT 16X1070,Dec 1070 Puts,161005,16:00:00,1070,P,161216,0.263,6.06,5.7,6.4,-0.003,22,268,-7.358,0.091,87.393,-15.781,-22.374,0.006,5.92
,RUT 17O1070,Mar17 1070 Puts,161005,16:00:00,1070,P,170317,0.249,19.29,17.1,21.1,-0.01,,5,-14.125,0.116,204.542,-15.344,-98.694,0.049,-1
,RUT 16J1080,Oct 1080 Calls,161005,16:00:00,1080,C,161021,,168.04,165.5,169.3,-0.004,,31,99.296,0.017,6.888,-6.395,46.76,1,-1
,RUT 16K1080,Nov 1080 Calls,161005,16:00:00,1080,C,161118,,170.4,166.9,171.1,-0.008,,9,94.94,0.072,55.598,-18.226,119.753,0.999,-1
,RUT 16L1080,Dec 1080 Calls,161005,16:00:00,1080,C,161216,,172.17,169.2,173.1,-0.006,,414,91.929,0.097,92.651,-16.851,188.6,0.991,-1
,RUT 17C1080,Mar17 1080 Calls,161005,16:00:00,1080,C,170317,0.234,180.88,178.2,183.4,0,,4,83.857,0.127,205.212,-15.409,382.626,0.94,-1
,RUT 16V1080,Oct 1080 Puts,161005,16:00:00,1080,P,161021,0.307,0.23,0.25,0.4,0.391,64,2178,-0.638,0.019,6.233,-6.966,-0.486,0,0.25
,RUT 16W1080,Nov 1080 Puts,161005,16:00:00,1080,P,161118,0.274,3.15,3,3.3,0,,2137,-5.201,0.085,51.458,-15.79,-9.312,0.001,-1
,RUT 16X1080,Dec 1080 Puts,161005,16:00:00,1080,P,161216,0.257,6.69,6.4,7,0.001,,583,-8.17,0.101,94.12,-16.66,-24.732,0.009,-1
,RUT 17O1080,Mar17 1080 Puts,161005,16:00:00,1080,P,170317,0.247,20.55,19.2,22.6,0.016,20,1091,-15.205,0.124,213.114,-15.999,-105.213,0.06,20.2
,RUT 16J1090,Oct 1090 Calls,161005,16:00:00,1090,C,161021,,158.09,155.6,159.8,-0.002,,9,99.144,0.022,8.178,-7.32,47.079,1,-1
,RUT 16K1090,Nov 1090 Calls,161005,16:00:00,1090,C,161118,,160.8,157.4,161.5,-0.008,,4,94.317,0.082,60.544,-19.313,119.751,0.998,-1
,RUT 16L1090,Dec 1090 Calls,161005,16:00:00,1090,C,161216,,162.86,160.4,163.7,-0.005,,79,91.049,0.108,99.776,-17.749,187.988,0.987,-1
,RUT 17C1090,Mar17 1090 Calls,161005,16:00:00,1090,C,170317,0.23,172.32,169.9,174.9,0,,,82.68,0.135,214.836,-15.88,379.714,0.927,-1
,RUT 16V1090,Oct 1090 Puts,161005,16:00:00,1090,P,161021,0.296,0.28,0.3,0.45,0.321,184,2265,-0.804,0.024,7.555,-7.777,-0.606,0,0.37
,RUT 16W1090,Nov 1090 Puts,161005,16:00:00,1090,P,161118,0.268,3.59,3.4,3.8,0.003,28,1399,-5.955,0.097,56.97,-17.127,-10.617,0.002,3.5
,RUT 16X1090,Dec 1090 Puts,161005,16:00:00,1090,P,161216,0.253,7.39,7.2,7.8,0.015,,328,-9.075,0.112,101.272,-17.738,-27.351,0.013,-1
,RUT 17O1090,Mar17 1090 Puts,161005,16:00:00,1090,P,170317,0.242,21.91,20,24.1,0.005,20,109,-16.364,0.132,221.871,-16.259,-112.196,0.073,21.7
,RUT 16J1100,Oct 1100 Calls,161005,16:00:00,1100,C,161021,,148.16,145.6,149.4,-0.002,2,86,98.95,0.028,9.748,-8.414,47.367,1,154.41
,RUT 16K1100,Nov 1100 Calls,161005,16:00:00,1100,C,161118,,151.26,147.9,151.9,-0.009,,10,93.602,0.093,65.946,-20.461,119.583,0.996,-1
,RUT 16L1100,Dec 1100 Calls,161005,16:00:00,1100,C,161216,,153.63,151.2,154.4,-0.004,28,1874,90.064,0.12,107.336,-18.673,187.086,0.981,157.86
,RUT 17A1100,Jan17 1100 Calls,161005,16:00:00,1100,C,170120,0.234,157.39,155.7,158.5,0,28,,86.536,0.132,156.589,-17.667,264.015,0.954,161.86
,RUT 17C1100,Mar17 1100 Calls,161005,16:00:00,1100,C,170317,0.227,163.87,161.5,166.4,0,,309,81.424,0.143,224.569,-16.34,376.308,0.912,-1
