Existing Posn.,Symbol,Description,Date,Time,Strike Price,Call/Put,Exp.Date,Mid IV,Th.Price,Bid,Asked,Percent O/U,Volume,Open Interest,Delta,Gamma,Vega,Theta,Rho,Prob.Finish.ITM,Last
,RUT,RUT Index,100910,16:00:00,, ,,,,,,,,,1,0,,,,,636.4
,RUT 10U500,Sep 500 Puts,100910,16:00:00,500,P,100917,,0.03,,0.1,,53,14279,-0.13,0.006,0.559,-1.863,-0.025,0,-1
,RUT 10V500,Oct 500 Puts,100910,16:00:00,500,P,101015,0.444,1.28,1.15,1.4,-0.008,137,7219,-3.796,0.108,15.285,-9.493,-2.258,0.001,1.2
,RUT 10W500,Nov 500 Puts,100910,16:00:00,500,P,101119,0.423,4.92,4.5,5.2,-0.014,29,129,-9.322,0.166,43.034,-12.86,-11.18,0.017,4.81
,RUT 10X500,Dec 500 Puts,100910,16:00:00,500,P,101217,0.419,8.6,8.1,8.8,-0.017,40,7802,-12.607,0.175,64.038,-13.546,-21.936,0.037,8.5
,RUT 11O500,Mar11 500 Puts,100910,16:00:00,500,P,110318,0.41,20.1,19.4,20.3,-0.012,,1283,-19.633,0.181,116.416,-12.491,-66.898,0.101,-1
,RUT 11R500,Jun11 500 Puts,100910,16:00:00,500,P,110617,0.402,30.17,28.2,31.1,-0.017,,475,-22.663,0.163,155.125,-10.904,-120.226,0.149,-1
,RUT 10I510,Sep 510 Calls,100910,16:00:00,510,C,100917,,126.26,124.9,127.7,0,,61,99.829,0.007,0.581,-1.784,9.748,1,-1
,RUT 10J510,Oct 510 Calls,100910,16:00:00,510,C,101015,,127.69,125.2,128.4,-0.007,3,57,94.838,0.121,21.297,-13.874,45.438,0.997,127.77
,RUT 10K510,Nov 510 Calls,100910,16:00:00,510,C,101119,,131.3,128,132.5,-0.008,3,6,89.162,0.17,50.629,-15.678,83.692,0.975,131.02
,RUT 10L510,Dec 510 Calls,100910,16:00:00,510,C,101217,,134.28,131.5,134.9,-0.008,,90,86.017,0.18,70.495,-15.187,111.533,0.95,-1
,RUT 11C510,Mar11 510 Calls,100910,16:00:00,510,C,110318,,143.29,140.6,144.7,-0.004,,20,78.536,0.192,121.092,-12.97,192.532,0.879,-1
,RUT 11F510,Jun11 510 Calls,100910,16:00:00,510,C,110617,0.38,150.61,148.7,152.6,0,,,74.719,0.179,158.693,-11.189,266.07,0.83,-1
,RUT 10U510,Sep 510 Puts,100910,16:00:00,510,P,100917,,0.04,0.05,0.15,,465,9721,-0.178,0.008,0.731,-2.355,-0.033,0,0.05
