Existing Posn.,Symbol,Description,Date,Time,Strike Price,Call/Put,Exp.Date,Mid IV,Th.Price,Bid,Asked,Percent O/U,Volume,Open Interest,Delta,Gamma,Vega,Theta,Rho,Prob.Finish.ITM,Last
,RUT,RUT Index,130308,16:00:00,, ,,,,,,,,,1,0,,,,,942.6
,RUT 13O775,Mar 775 Puts,130308,16:00:00,775,P,130315,,0.14,,0.05,,5,1256,-0.091,0.002,2.146,-7.088,-0.106,0,-1
,RUT 13P775,Apr 775 Puts,130308,16:00:00,775,P,130419,0.278,0.8,0.5,0.65,-0.275,44,374,-1.3,0.026,17.074,-4.481,-2.506,0,0.6
,RUT 13Q775,May 775 Puts,130308,16:00:00,775,P,130517,0.259,1.79,1.45,2.05,-0.022,7,222,-3.06,0.056,35.515,-6.415,-7.501,0.001,1.68
,RUT 13R775,Jun 775 Puts,130308,16:00:00,775,P,130621,0.24,3.49,2.85,3.7,-0.06,,308,-5.388,0.085,62.09,-6.812,-17.802,0.005,-1
,RUT 13S775,Jul 775 Puts,130308,16:00:00,775,P,130719,0.238,5.28,4.6,5.8,-0.015,,451,-7.319,0.101,85.272,-7.5,-29.53,0.012,-1
,RUT 13U775,Sep 775 Puts,130308,16:00:00,775,P,130920,0.234,10.23,9.3,10.6,-0.027,,1,-10.857,0.115,136.714,-8.004,-65.114,0.033,-1
,RUT 13X775,Dec 775 Puts,130308,16:00:00,775,P,131220,0.237,18.25,16.4,19.8,-0.008,,2641,-14.716,0.121,201.625,-8.165,-131.373,0.067,-1
,RUT 13O780,Mar 780 Puts,130308,16:00:00,780,P,130315,,0.14,,0.05,,,2688,-0.096,0.002,2.213,-7.118,-0.11,0,-1
,RUT 13P780,Apr 780 Puts,130308,16:00:00,780,P,130419,0.273,0.85,0.6,0.65,-0.271,229,1730,-1.4,0.029,18.06,-4.697,-2.677,0,0.6
,RUT 13Q780,May 780 Puts,130308,16:00:00,780,P,130517,0.256,1.92,1.6,2.2,-0.016,180,1164,-3.303,0.061,37.65,-6.709,-8.061,0.001,1.76
,RUT 13R780,Jun 780 Puts,130308,16:00:00,780,P,130621,0.239,3.73,3.2,4,-0.032,16,567,-5.767,0.09,65.331,-7.235,-19.011,0.007,3.76
,RUT 13S780,Jul 780 Puts,130308,16:00:00,780,P,130719,0.234,5.61,4.8,6.1,-0.029,2,12,-7.775,0.107,89.121,-7.672,-31.324,0.015,5.51
,RUT 13U780,Sep 780 Puts,130308,16:00:00,780,P,130920,0.233,10.72,9.9,11.1,-0.019,5,51,-11.385,0.121,141.215,-8.23,-68.201,0.038,11
,RUT 13X780,Dec 780 Puts,130308,16:00:00,780,P,131220,0.235,18.96,17.1,20.7,-0.003,,52,-15.312,0.128,206.512,-8.294,-136.341,0.074,-1
,RUT 13O785,Mar 785 Puts,130308,16:00:00,785,P,130315,,0.14,,0.05,,5,562,-0.102,0.002,2.286,-7.152,-0.114,0,-1
,RUT 13P785,Apr 785 Puts,130308,16:00:00,785,P,130419,0.27,0.9,0.65,0.75,-0.222,135,556,-1.511,0.031,19.122,-5.162,-2.865,0,0.74
,RUT 13Q785,May 785 Puts,130308,16:00:00,785,P,130517,0.251,2.06,1.7,2.3,-0.029,,91,-3.566,0.066,39.917,-6.965,-8.667,0.002,-1
,RUT 13R785,Jun 785 Puts,130308,16:00:00,785,P,130621,0.237,3.98,3.5,4.3,-0.02,3,148,-6.172,0.097,68.719,-7.625,-20.303,0.009,3.97
,RUT 13S785,Jul 785 Puts,130308,16:00:00,785,P,130719,0.233,5.95,5.2,6.5,-0.017,,61,-8.258,0.113,93.103,-8.027,-33.226,0.018,-1
,RUT 13U785,Sep 785 Puts,130308,16:00:00,785,P,130920,0.231,11.23,10.4,11.7,-0.016,,,-11.941,0.129,145.807,-8.457,-71.429,0.043,-1
,RUT 13X785,Dec 785 Puts,130308,16:00:00,785,P,131220,0.233,19.7,17.9,21.5,0,,258,-15.932,0.133,211.441,-8.454,-141.485,0.081,-1
,RUT 13O790,Mar 790 Puts,130308,16:00:00,790,P,130315,,0.14,,0.05,,13,3805,-0.108,0.002,2.365,-7.193,-0.118,0,-1
,RUT 13P790,Apr 790 Puts,130308,16:00:00,790,P,130419,0.263,0.95,0.7,0.75,-0.242,266,2959,-1.632,0.034,20.266,-5.221,-3.07,0,0.72
,RUT 13Q790,May 790 Puts,130308,16:00:00,790,P,130517,0.247,2.21,1.8,2.45,-0.036,10,978,-3.853,0.072,42.323,-7.232,-9.325,0.002,2.15
,RUT 13R790,Jun 790 Puts,130308,16:00:00,790,P,130621,0.234,4.26,3.7,4.6,-0.023,1,472,-6.607,0.103,72.255,-7.881,-21.685,0.011,4.33
,RUT 13S790,Jul 790 Puts,130308,16:00:00,790,P,130719,0.231,6.32,5.7,6.9,-0.005,2,84,-8.771,0.12,97.218,-8.344,-35.24,0.021,6.14
,RUT 13U790,Sep 790 Puts,130308,16:00:00,790,P,130920,0.23,11.77,11,12.6,0.003,,96,-12.548,0.137,150.49,-8.724,-74.808,0.049,-1
,RUT 13X790,Dec 790 Puts,130308,16:00:00,790,P,131220,0.231,20.47,18.7,22.3,0.001,,,-16.574,0.137,216.406,-8.581,-146.809,0.089,-1
,RUT 13C795,Mar 795 Calls,130308,16:00:00,795,C,130315,,147.35,146.1,147.7,-0.003,,7,99.968,0,0.057,-0.156,15.234,1,-1
,RUT 13D795,Apr 795 Calls,130308,16:00:00,795,C,130419,,146.81,145.3,147,-0.004,,142,98.347,0.036,17.182,-5.189,88.897,1,-1
,RUT 13E795,May 795 Calls,130308,16:00:00,795,C,130517,,147.31,145.7,147.4,-0.005,,12,95.913,0.073,42.625,-7.415,142.931,0.997,-1
,RUT 13F795,Jun 795 Calls,130308,16:00:00,795,C,130621,,148.48,147.1,148.6,-0.004,,310,92.966,0.102,75.34,-8.481,205.527,0.986,-1
,RUT 13G795,Jul 795 Calls,130308,16:00:00,795,C,130719,,148.98,147.6,149.8,-0.002,,77,90.888,0.123,95.898,-8.17,254.838,0.975,-1
,RUT 13I795,Sep 795 Calls,130308,16:00:00,795,C,130920,0.21,151.36,149.9,152,-0.003,,,86.666,0.145,145.128,-7.962,355.703,0.944,-1
,RUT 13L795,Dec 795 Calls,130308,16:00:00,795,C,131220,0.212,156.58,153.9,158.4,-0.003,,,82.129,0.146,211.33,-8.171,483.284,0.902,-1
,RUT 13O795,Mar 795 Puts,130308,16:00:00,795,P,130315,,0.15,,0.05,,,1178,-0.115,0.003,2.451,-7.241,-0.123,0,-1
,RUT 13P795,Apr 795 Puts,130308,16:00:00,795,P,130419,0.259,1.01,0.75,0.85,-0.208,,700,-1.767,0.038,21.501,-5.639,-3.295,0,-1
,RUT 13Q795,May 795 Puts,130308,16:00:00,795,P,130517,0.245,2.37,2.05,2.65,-0.008,,113,-4.166,0.078,44.875,-7.728,-10.038,0.003,-1
,RUT 13R795,Jun 795 Puts,130308,16:00:00,795,P,130621,0.232,4.55,4.1,4.9,-0.011,1,322,-7.074,0.11,75.943,-8.293,-23.163,0.014,4.5
,RUT 13S795,Jul 795 Puts,130308,16:00:00,795,P,130719,0.229,6.71,6,7.3,-0.009,,14,-9.316,0.127,101.465,-8.62,-37.375,0.025,-1
,RUT 13U795,Sep 795 Puts,130308,16:00:00,795,P,130920,0.226,12.34,11.5,12.8,-0.015,,,-13.187,0.143,155.262,-8.838,-78.346,0.056,-1
,RUT 13X795,Dec 795 Puts,130308,16:00:00,795,P,131220,0.23,21.27,19.5,23.1,0.001,,,-17.239,0.142,221.4,-8.707,-152.318,0.098,-1
,RUT 13C800,Mar 800 Calls,130308,16:00:00,800,C,130315,,142.35,141.1,142.7,-0.006,1,2460,99.967,0,0.067,-0.17,15.329,1,134.8
,RUT 13D800,Apr 800 Calls,130308,16:00:00,800,C,130419,,141.87,140.4,142.1,-0.004,,163,98.198,0.04,18.505,-5.481,89.241,1,-1
,RUT 13E800,May 800 Calls,130308,16:00:00,800,C,130517,,142.47,140.9,142.6,-0.005,,1,95.594,0.079,45.257,-7.752,143.153,0.996,-1
,RUT 13F800,Jun 800 Calls,130308,16:00:00,800,C,130621,,143.77,142.4,144,-0.004,,1273,92.506,0.109,79.037,-8.779,205.454,0.983,-1
,RUT 13G800,Jul 800 Calls,130308,16:00:00,800,C,130719,0.215,144.37,143,145,-0.003,,20,90.325,0.131,100.331,-8.128,254.455,0.97,-1
,RUT 13I800,Sep 800 Calls,130308,16:00:00,800,C,130920,0.209,146.95,145.6,147.7,-0.002,,2,85.988,0.152,150.411,-8.256,354.593,0.937,-1
,RUT 13L800,Dec 800 Calls,130308,16:00:00,800,C,131220,0.211,152.41,149.8,154.3,-0.002,,1901,81.423,0.151,216.864,-8.35,481.296,0.893,-1
