Existing Posn.,Symbol,Description,Date,Time,Strike Price,Call/Put,Exp.Date,Mid IV,Th.Price,Bid,Asked,Percent O/U,Volume,Open Interest,Delta,Gamma,Vega,Theta,Rho,Prob.Finish.ITM,Last
,RUT,RUT Index,170119,16:00:00,, ,,,,,,,,,1,0,,,,,1345.7
,RUT 17M1120,Jan 1120 Puts,,,1120,P,170120,,0,,,,,,0,0,0,0,0,0,
,RUT 17N1120,Feb 1120 Puts,170119,16:00:00,1120,P,170217,0.318,0.83,0.65,1,0,,301,-1.295,0.022,17.265,-9.119,-2.037,0,-1
,RUT 17O1120,Mar 1120 Puts,170119,16:00:00,1120,P,170317,0.283,3.07,2.75,3.2,-0.033,7,782,-3.66,0.047,52.284,-12.517,-10.307,0,2.82
,RUT 17R1120,Jun 1120 Puts,170119,16:00:00,1120,P,170616,0.264,13.99,14.3,15.1,0.051,,21,-12.092,0.097,170.435,-15.121,-70.385,0.016,-1
,RUT 17M1130,Jan 1130 Puts,170119,16:00:00,1130,P,170120,,0,,0.2,,,435,0,0,0,0,0,0,-1
,RUT 17N1130,Feb 1130 Puts,170119,16:00:00,1130,P,170217,0.308,0.93,0.7,1.1,-0.032,210,1297,-1.476,0.026,19.157,-9.564,-2.302,0,0.94
,RUT 17O1130,Mar 1130 Puts,170119,16:00:00,1130,P,170317,0.278,3.37,3.1,3.5,-0.018,7,178,-4.063,0.053,56.571,-13.449,-11.376,0,3.5
,RUT 17R1130,Jun 1130 Puts,170119,16:00:00,1130,P,170616,0.26,15.1,15.3,16.1,0.04,,20,-12.982,0.103,179.131,-15.635,-75.62,0.021,-1
,RUT 17M1140,Jan 1140 Puts,170119,16:00:00,1140,P,170120,,0,,0.2,,,4246,0,0,0,0,0,0,-1
,RUT 17N1140,Feb 1140 Puts,170119,16:00:00,1140,P,170217,0.304,1.05,0.9,1.25,0.029,22,623,-1.686,0.03,21.292,-10.983,-2.609,0,1.1
,RUT 17O1140,Mar 1140 Puts,170119,16:00:00,1140,P,170317,0.273,3.7,3.5,3.9,0,78,1024,-4.516,0.059,61.22,-14.441,-12.57,0.001,3.77
,RUT 17R1140,Jun 1140 Puts,170119,16:00:00,1140,P,170616,0.256,16.29,16.4,17.2,0.031,,10,-13.928,0.109,188.033,-16.086,-81.195,0.027,-1
,RUT 17A1150,Jan 1150 Calls,170119,16:00:00,1150,C,170120,,195.66,194.7,196.8,0,,77,99.997,0,0,-1.058,3.148,1,-1
,RUT 17B1150,Feb 1150 Calls,170119,16:00:00,1150,C,170217,,197.03,195.7,198,-0.001,10,33,97.283,0.037,35.072,-20.959,86.453,1,197.1
,RUT 17C1150,Mar 1150 Calls,170119,16:00:00,1150,C,170317,,199.36,197.6,199.7,-0.004,,180,94.408,0.062,76.751,-20.519,162.382,0.999,-1
,RUT 17F1150,Jun 1150 Calls,170119,16:00:00,1150,C,170616,0.257,210.48,209,211.5,-0.001,,627,85.825,0.1,201.916,-18.951,374.123,0.966,-1
,RUT 17I1150,Sep 1150 Calls,170119,16:00:00,1150,C,170915,0.248,222.08,220.4,222.9,-0.002,,6,81.147,0.101,297.1,-17.094,558.683,0.924,-1
,RUT 17L1150,Dec 1150 Calls,170119,16:00:00,1150,C,171215,0.245,233.37,231.9,234.4,-0.001,,444,78.434,0.094,373.523,-15.824,728.497,0.889,-1
,RUT 17M1150,Jan 1150 Puts,170119,16:00:00,1150,P,170120,,0,,0.05,,,1564,0,0,0,0,0,0,-1
,RUT 17N1150,Feb 1150 Puts,170119,16:00:00,1150,P,170217,0.295,1.18,1.05,1.35,0.017,14,2382,-1.933,0.035,23.702,-11.835,-2.965,0,1.2
,RUT 17O1150,Mar 1150 Puts,170119,16:00:00,1150,P,170317,0.267,4.08,3.8,4.3,-0.007,21,3513,-5.026,0.066,66.253,-15.217,-13.906,0.001,4.1
,RUT 17R1150,Jun 1150 Puts,170119,16:00:00,1150,P,170616,0.253,17.57,17.6,18.4,0.024,,1472,-14.903,0.105,197.116,-16.597,-87.124,0.034,-1
,RUT 17U1150,Sep 1150 Puts,170119,16:00:00,1150,P,170915,0.251,32.58,31.8,32.8,-0.009,,274,-17.762,0.101,298.597,-15.009,-191.745,0.076,-1
,RUT 17X1150,Dec 1150 Puts,170119,16:00:00,1150,P,171215,0.249,45.49,44.6,45.9,-0.005,,1238,-20.303,0.094,376.457,-13.374,-306.864,0.111,-1
,RUT 17A1160,Jan 1160 Calls,170119,16:00:00,1160,C,170120,,185.66,184.7,186.8,0.001,30,82,99.997,0,0,-1.068,3.176,1,188.15
,RUT 17B1160,Feb 1160 Calls,170119,16:00:00,1160,C,170217,,187.23,185.8,188.2,-0.002,4,12,96.985,0.042,37.869,-21.936,86.767,1,182.6
,RUT 17C1160,Mar 1160 Calls,170119,16:00:00,1160,C,170317,,189.8,188.1,190.1,-0.003,30,64,93.88,0.068,81.817,-21.311,162.451,0.998,190.9
,RUT 17F1160,Jun 1160 Calls,170119,16:00:00,1160,C,170616,0.253,201.72,200.3,202.8,-0.001,,19,84.918,0.106,210.256,-19.401,372.379,0.958,-1
,RUT 17M1160,Jan 1160 Puts,170119,16:00:00,1160,P,170120,,0,,0.2,,,880,0,0,0,0,0,0,-1
,RUT 17N1160,Feb 1160 Puts,170119,16:00:00,1160,P,170217,0.288,1.33,1.2,1.55,0.03,17,559,-2.223,0.04,26.424,-12.965,-3.379,0,1.34
,RUT 17O1160,Mar 1160 Puts,170119,16:00:00,1160,P,170317,0.262,4.5,4.3,4.7,0.002,34,398,-5.601,0.073,71.695,-16.222,-15.401,0.002,4.63
,RUT 17R1160,Jun 1160 Puts,170119,16:00:00,1160,P,170616,0.25,18.93,18.8,19.7,0.017,,14,-15.833,0.109,206.316,-17.097,-93.397,0.042,-1
,RUT 17A1170,Jan 1170 Calls,170119,16:00:00,1170,C,170120,,175.66,174.7,176.8,0,57,60,99.997,0,0,-1.077,3.203,1,175.27
,RUT 17B1170,Feb 1170 Calls,170119,16:00:00,1170,C,170217,,177.45,176,178.4,0.002,4,63,96.642,0.048,40.959,-22.984,87.015,1,188.1
,RUT 17C1170,Mar 1170 Calls,170119,16:00:00,1170,C,170317,,180.29,178.3,180.6,-0.004,30,15,93.29,0.076,87.247,-22.133,162.358,0.996,181.45
,RUT 17F1170,Jun 1170 Calls,170119,16:00:00,1170,C,170616,0.249,193.04,191.5,193.9,-0.002,,11,83.951,0.113,218.757,-19.781,370.27,0.948,-1
,RUT 17M1170,Jan 1170 Puts,170119,16:00:00,1170,P,170120,,0,,0.05,,,7942,0,0,0,0,0,0,-1
,RUT 17N1170,Feb 1170 Puts,170119,16:00:00,1170,P,170217,0.279,1.51,1.35,1.7,0.013,21,1379,-2.563,0.047,29.5,-13.897,-3.861,0,1.57
,RUT 17O1170,Mar 1170 Puts,170119,16:00:00,1170,P,170317,0.256,4.98,4.7,5.2,-0.006,101,3649,-6.248,0.082,77.566,-17.084,-17.074,0.004,4.95
,RUT 17R1170,Jun 1170 Puts,170119,16:00:00,1170,P,170616,0.246,20.38,20.2,21,0.011,,3,-16.81,0.114,215.592,-17.581,-100.017,0.052,-1
,RUT 17A1180,Jan 1180 Calls,170119,16:00:00,1180,C,170120,,165.66,164.7,166.8,0.001,,37,99.997,0,0,-1.086,3.231,1,-1
,RUT 17B1180,Feb 1180 Calls,170119,16:00:00,1180,C,170217,,167.7,166.2,168.6,-0.002,1,80,96.246,0.055,44.377,-24.108,87.186,1,166.7
,RUT 17C1180,Mar 1180 Calls,170119,16:00:00,1180,C,170317,,170.84,169.1,171.2,-0.004,,10,92.628,0.084,93.057,-22.984,162.083,0.993,-1
,RUT 17F1180,Jun 1180 Calls,170119,16:00:00,1180,C,170616,0.247,184.44,183.3,185.6,0,,7,82.922,0.12,227.391,-20.403,367.774,0.936,-1
,RUT 17M1180,Jan 1180 Puts,170119,16:00:00,1180,P,170120,,0,,,,,4993,0,0,0,0,0,0,-1
,RUT 17N1180,Feb 1180 Puts,170119,16:00:00,1180,P,170217,0.272,1.72,1.55,1.95,0.017,127,914,-2.966,0.055,32.975,-15.247,-4.426,0,1.72
,RUT 17O1180,Mar 1180 Puts,170119,16:00:00,1180,P,170317,0.25,5.51,5.2,5.7,-0.009,8,1779,-6.977,0.092,83.887,-18.085,-18.948,0.007,5.56
,RUT 17R1180,Jun 1180 Puts,170119,16:00:00,1180,P,170616,0.243,21.92,21.6,22.5,0.006,,117,-17.836,0.12,224.915,-18.045,-106.999,0.064,-1
,RUT 17A1190,Jan 1190 Calls,170119,16:00:00,1190,C,170120,,155.66,154.7,156.8,0.002,1,143,99.997,0,0,-1.095,3.258,1,161
,RUT 17B1190,Feb 1190 Calls,170119,16:00:00,1190,C,170217,,157.98,156.5,158.9,-0.002,,1,95.787,0.063,48.159,-25.31,87.268,0.999,-1
,RUT 17C1190,Mar 1190 Calls,170119,16:00:00,1190,C,170317,,161.44,159.5,161.8,-0.005,,72,91.884,0.094,99.263,-23.861,161.604,0.99,-1
,RUT 17F1190,Jun 1190 Calls,170119,16:00:00,1190,C,170616,0.242,175.95,174.5,176.9,-0.001,,1,81.825,0.127,236.128,-20.698,364.873,0.923,-1
,RUT 17M1190,Jan 1190 Puts,170119,16:00:00,1190,P,170120,,0,,0.1,,,1863,0,0,0,0,0,0,-1
,RUT 17N1190,Feb 1190 Puts,170119,16:00:00,1190,P,170217,0.264,1.96,1.8,2.15,0.01,36,1430,-3.442,0.065,36.898,-16.495,-5.087,0.001,2.11
,RUT 17O1190,Mar 1190 Puts,170119,16:00:00,1190,P,170317,0.245,6.11,5.9,6.3,-0.002,42,597,-7.801,0.103,90.672,-19.229,-21.048,0.01,6.19
,RUT 17R1190,Jun 1190 Puts,170119,16:00:00,1190,P,170616,0.24,23.55,23.1,24,0,17,102,-18.915,0.125,234.253,-18.487,-114.359,0.077,23.58
,RUT 17A1200,Jan 1200 Calls,170119,16:00:00,1200,C,170120,,145.66,144.7,146.8,0.001,,239,99.997,0,0,-1.104,3.285,1,-1
,RUT 17B1200,Feb 1200 Calls,170119,16:00:00,1200,C,170217,,148.31,147.1,149.1,-0.001,4,58,95.252,0.073,52.346,-26.595,87.245,0.999,149.09
,RUT 17C1200,Mar 1200 Calls,170119,16:00:00,1200,C,170317,,152.11,150.7,152.5,-0.003,7,537,91.049,0.105,105.876,-24.76,160.896,0.985,152.76
,RUT 17F1200,Jun 1200 Calls,170119,16:00:00,1200,C,170616,0.239,167.55,166.2,168.6,-0.001,,576,80.658,0.134,244.931,-21.166,361.545,0.907,-1
,RUT 17I1200,Sep 1200 Calls,170119,16:00:00,1200,C,170915,0.234,181.62,180.7,182.6,0,,105,75.922,0.132,341.805,-18.453,538.177,0.85,-1
,RUT 17L1200,Dec 1200 Calls,170119,16:00:00,1200,C,171215,0.234,194.86,194,196,0.001,,1467,73.348,0.117,418.315,-16.731,701.85,0.811,-1
,RUT 17M1200,Jan 1200 Puts,170119,16:00:00,1200,P,170120,,0,,0.05,,14,16682,0,0,0,0,0,0,0.05
