Existing Posn.,Symbol,Description,Date,Time,Strike Price,Call/Put,Exp.Date,Mid IV,Th.Price,Bid,Asked,Percent O/U,Volume,Open Interest,Delta,Gamma,Vega,Theta,Rho,Prob.Finish.ITM,Last
,SPX,SPX Index,120821,16:00:00,, ,,,,,,,,,1,0,,,,,1413.2
,SPX 12U1170,Sep 1170 Puts,120821,16:00:00,1170,P,120921,0.303,0.64,0.3,1.1,0.078,2,2448,-0.955,0.017,15.098,-7.435,-1.771,0,0.55
,SPX 12V1170,Oct 1170 Puts,120821,16:00:00,1170,P,121019,0.259,2.19,1.45,2.55,-0.087,4,16400,-3.12,0.046,44.564,-9.133,-8.428,0,1.9
,SPX 13O1170,Mar13 1170 Puts,120821,16:00:00,1170,P,130315,0.262,24.87,23.2,26.5,-0.001,,500,-15.823,0.097,252.923,-15.948,-137.711,0.013,-1
,SPX 12U1175,Sep 1175 Puts,120821,16:00:00,1175,P,120921,0.284,0.67,0.4,0.6,-0.254,945,34235,-1.01,0.018,15.787,-5.71,-1.864,0,0.55
,SPX 12V1175,Oct 1175 Puts,120821,16:00:00,1175,P,121019,0.261,2.3,1.6,3,-0.009,456,10666,-3.29,0.049,46.492,-10.058,-8.876,0,1.8
,SPX 12W1175,Nov 1175 Puts,120821,16:00:00,1175,P,121116,0.257,5.46,4.5,6.4,-0.002,192,13837,-6.075,0.068,89.555,-13.114,-23.734,0,5.55
,SPX 12X1175,Dec 1175 Puts,120821,16:00:00,1175,P,121221,0.256,10.53,9.3,11.8,-0.001,2600,36242,-9.605,0.086,143.242,-14.924,-50.509,0.002,10
,SPX 13M1175,Jan13 1175 Puts,120821,16:00:00,1175,P,130118,0.255,15.25,13.8,16,-0.024,2001,,-11.3,0.087,184.156,-15.417,-77.414,0.005,14.5
,SPX 13O1175,Mar13 1175 Puts,120821,16:00:00,1175,P,130315,0.26,25.52,23.8,27.1,-0.003,,5594,-16.228,0.098,257.217,-16.066,-141.314,0.015,-1
,SPX 12U1180,Sep 1180 Puts,120821,16:00:00,1180,P,120921,0.297,0.7,0.4,1.2,0.129,2,2494,-1.068,0.019,16.516,-8.215,-1.965,0,0.6
,SPX 12V1180,Oct 1180 Puts,120821,16:00:00,1180,P,121019,0.258,2.42,1.7,3.1,-0.008,,1053,-3.471,0.051,48.508,-10.395,-9.35,0,-1
