Existing Posn.,Symbol,Description,Date,Time,Strike Price,Call/Put,Exp.Date,Mid IV,Th.Price,Bid,Asked,Percent O/U,Volume,Open Interest,Delta,Gamma,Vega,Theta,Rho,Prob.Finish.ITM,Last
,SPX,SPX Index,140129,16:00:00,, ,,,,,,,,,1,0,,,,,1774.2
,SPX 14N1465,Feb 1465 Puts,140129,16:00:00,1465,P,140221,0.348,0.85,0.5,0.95,-0.129,2,1549,-0.981,0.013,16.689,-10.99,-1.696,0,1
,SPX 14O1465,Mar 1465 Puts,140129,16:00:00,1465,P,140321,0.279,2.34,1.9,2.8,0.004,,41,-2.545,0.03,46.968,-12.641,-8.068,0,-1
,SPX 14N1470,Feb 1470 Puts,140129,16:00:00,1470,P,140221,0.354,0.88,0.5,1.3,0.034,2,1683,-1.025,0.014,17.281,-13.034,-1.766,0,1.05
,SPX 14O1470,Mar 1470 Puts,140129,16:00:00,1470,P,140321,0.277,2.43,2,2.9,0.004,25,646,-2.652,0.031,48.526,-12.952,-8.392,0,2.3
,SPX 14P1470,Apr 1470 Puts,140129,16:00:00,1470,P,140418,0.249,4.41,4,5,0.02,,29,-4.169,0.041,84.634,-13.359,-19.871,0,-1
,SPX 14N1475,Feb 1475 Puts,140129,16:00:00,1475,P,140221,0.346,0.91,0.75,1,-0.033,12,8829,-1.071,0.015,17.899,-12.646,-1.839,0,0.9
,SPX 14O1475,Mar 1475 Puts,140129,16:00:00,1475,P,140321,0.276,2.52,2.1,3.1,0.032,,21545,-2.764,0.033,50.141,-13.576,-8.732,0,-1
,SPX 14P1475,Apr 1475 Puts,140129,16:00:00,1475,P,140418,0.248,4.57,4.1,5.2,0.018,,6521,-4.331,0.043,87.153,-13.655,-20.617,0,-1
,SPX 14Q1475,May 1475 Puts,140129,16:00:00,1475,P,140516,0.235,7.35,6.8,8,0.007,,22,-6.236,0.054,129.274,-14.151,-38.438,0.001,-1
,SPX 14R1475,Jun 1475 Puts,140129,16:00:00,1475,P,140620,0.226,11.24,10.5,12,0.004,8,10634,-8.445,0.063,181.508,-14.313,-67.024,0.003,11.9
,SPX 14U1475,Sep 1475 Puts,140129,16:00:00,1475,P,140919,0.215,22.05,21.3,23.3,0.011,,9714,-13.269,0.073,304.56,-13.863,-164.467,0.017,-1
