Existing Posn.,Symbol,Description,Date,Time,Strike Price,Call/Put,Exp.Date,Mid IV,Th.Price,Bid,Asked,Percent O/U,Volume,Open Interest,Delta,Gamma,Vega,Theta,Rho,Prob.Finish.ITM,Last
,SPX,SPX Index,140512,16:00:00,, ,,,,,,,,,1,0,,,,,1896.6
,SPX 14Q1555,May 1555 Puts,140512,16:00:00,1555,P,140516,,0.09,,,,,2577,-0.035,0,1.347,-6.985,-0.045,0,-1
,SPX 14R1555,Jun 1555 Puts,140512,16:00:00,1555,P,140620,0.264,0.5,0.55,0.6,0.14,61,146,-0.619,0.009,15.304,-5.458,-1.885,0,0.55
,SPX 14S1555,Jul 1555 Puts,140512,16:00:00,1555,P,140718,0.229,1.49,1.05,1.9,-0.007,,,-1.625,0.019,41.228,-6.847,-7.543,0,-1
,SPX 14Q1560,May 1560 Puts,140512,16:00:00,1560,P,140516,,0.09,,0.05,,,3288,-0.036,0,1.367,-6.997,-0.046,0,-1
,SPX 14R1560,Jun 1560 Puts,140512,16:00:00,1560,P,140620,0.26,0.52,0.55,0.6,0.115,4,128,-0.649,0.009,15.904,-5.487,-1.969,0,0.6
,SPX 14S1560,Jul 1560 Puts,140512,16:00:00,1560,P,140718,0.227,1.55,1.15,1.9,-0.013,,8,-1.698,0.02,42.705,-7.039,-7.864,0,-1
,SPX 14T1560,Aug 1560 Puts,140512,16:00:00,1560,P,140815,0.215,3.14,2.65,3.6,-0.003,,,-3.016,0.03,77.775,-8.682,-18.76,0,-1
,SPX 14Q1565,May 1565 Puts,140512,16:00:00,1565,P,140516,,0.09,,,,,1185,-0.036,0,1.387,-7.01,-0.047,0,-1
,SPX 14R1565,Jun 1565 Puts,140512,16:00:00,1565,P,140620,0.259,0.54,0.6,0.65,0.148,101,1194,-0.68,0.01,16.534,-5.787,-2.059,0,0.6
,SPX 14S1565,Jul 1565 Puts,140512,16:00:00,1565,P,140718,0.225,1.61,1.2,1.95,-0.019,,,-1.774,0.021,44.241,-7.236,-8.201,0,-1
,SPX 14Q1570,May 1570 Puts,140512,16:00:00,1570,P,140516,,0.09,,0.05,,,8407,-0.037,0,1.409,-7.024,-0.048,0,-1
,SPX 14R1570,Jun 1570 Puts,140512,16:00:00,1570,P,140620,,0.56,0.1,1,-0.018,11,4401,-0.713,0.01,17.193,-5.348,-2.153,0,0.6
,SPX 14S1570,Jul 1570 Puts,140512,16:00:00,1570,P,140718,0.223,1.68,1.25,2.05,-0.012,3,9,-1.854,0.022,45.839,-7.441,-8.554,0,1.85
,SPX 14T1570,Aug 1570 Puts,140512,16:00:00,1570,P,140815,0.212,3.39,2.9,3.9,0.003,,4,-3.27,0.033,82.857,-9.128,-20.277,0,-1
,SPX 14Q1575,May 1575 Puts,140512,16:00:00,1575,P,140516,,0.09,,,,2,21198,-0.038,0,1.432,-7.04,-0.049,0,-1
,SPX 14R1575,Jun 1575 Puts,140512,16:00:00,1575,P,140620,0.246,0.59,0.4,0.65,-0.102,280,27381,-0.748,0.011,17.885,-5.048,-2.252,0,0.6
,SPX 14S1575,Jul 1575 Puts,140512,16:00:00,1575,P,140718,0.222,1.75,1.3,2.15,-0.011,,1744,-1.938,0.023,47.499,-7.651,-8.924,0,-1
,SPX 14T1575,Aug 1575 Puts,140512,16:00:00,1575,P,140815,0.21,3.52,3,4,-0.003,4,233,-3.406,0.034,85.522,-9.359,-21.084,0,3.7
,SPX 14U1575,Sep 1575 Puts,140512,16:00:00,1575,P,140919,0.203,6.55,5.8,7.1,-0.015,,3929,-5.529,0.047,139.425,-10.658,-44.299,0.001,-1
,SPX 14X1575,Dec 1575 Puts,140512,16:00:00,1575,P,141219,0.197,17.32,15.7,17.6,-0.039,,18396,-9.777,0.058,282.19,-12.19,-139.355,0.011,-1
,SPX 14Q1580,May 1580 Puts,140512,16:00:00,1580,P,140516,,0.09,,,,,3592,-0.039,0,1.455,-7.058,-0.049,0,-1
,SPX 14R1580,Jun 1580 Puts,140512,16:00:00,1580,P,140620,,0.61,0.15,1.1,0.033,1,86,-0.785,0.011,18.611,-5.683,-2.358,0,0.65
,SPX 14S1580,Jul 1580 Puts,140512,16:00:00,1580,P,140718,0.22,1.82,1.4,2.2,-0.005,1,23,-2.027,0.024,49.226,-7.951,-9.313,0,1.95
,SPX 14T1580,Aug 1580 Puts,140512,16:00:00,1580,P,140815,0.209,3.66,3.1,4.1,-0.014,4,4,-3.547,0.036,88.272,-9.508,-21.927,0,3.9
,SPX 14Q1585,May 1585 Puts,140512,16:00:00,1585,P,140516,,0.09,,0.05,,,4034,-0.04,0,1.479,-7.077,-0.05,0,-1
,SPX 14R1585,Jun 1585 Puts,140512,16:00:00,1585,P,140620,,0.64,0.2,1.1,0.016,1,65,-0.825,0.012,19.373,-5.86,-2.469,0,0.65
,SPX 14S1585,Jul 1585 Puts,140512,16:00:00,1585,P,140718,0.218,1.89,1.45,2.25,-0.016,2,3,-2.12,0.025,51.021,-8.092,-9.721,0,2.1
,SPX 14Q1590,May 1590 Puts,140512,16:00:00,1590,P,140516,,0.09,,0.05,,,4524,-0.042,0.001,1.505,-7.098,-0.051,0,-1
,SPX 14R1590,Jun 1590 Puts,140512,16:00:00,1590,P,140620,,0.66,0.2,1.15,0.015,4,5242,-0.867,0.013,20.173,-6.045,-2.587,0,0.65
