Existing Posn.,Symbol,Description,Date,Time,Strike Price,Call/Put,Exp.Date,Mid IV,Th.Price,Bid,Asked,Percent O/U,Volume,Open Interest,Delta,Gamma,Vega,Theta,Rho,Prob.Finish.ITM,Last
,SXBPO,Apr 975 Puts,100120,16:00:00,975,P,100416,0.264,8.01,7.5,8.4,-0.002,1,4950,-9.91,0.123,102.616,-15.686,-30.781,0.003,8.8
,SXBQO,May 975 Puts,100120,16:00:00,975,P,100521,0.256,12.88,12.1,13.5,-0.006,,,-13.663,0.14,145.933,-15.391,-57.037,0.01,-1
,SXBRO,Jun 975 Puts,100120,16:00:00,975,P,100618,0.253,16.84,16,17.6,-0.002,,19871,-16.214,0.15,177.111,-14.97,-81.301,0.019,-1
,SXBUO,Sep 975 Puts,100120,16:00:00,975,P,100917,0.246,29.3,28.3,30.2,0.001,221,2585,-21.254,0.144,262.023,-13.408,-173.208,0.057,31
,SXBXO,Dec 975 Puts,100120,16:00:00,975,P,101217,0.241,40.59,38.9,42.1,-0.002,10,9990,-23.526,0.124,329.871,-11.936,-277.666,0.097,40.5
,SXBBP,Feb 980 Calls,100120,16:00:00,980,C,100219,,157.74,156.1,158.5,-0.003,,29,97.007,0.057,27.91,-13.693,76.675,1,-1
,SXBCP,Mar 980 Calls,100120,16:00:00,980,C,100319,,159.35,157.4,160.4,-0.003,,70,92.503,0.109,69.457,-16.441,139.847,1,-1
,SXBDP,Apr 980 Calls,100120,16:00:00,980,C,100416,,161.84,159.9,162.9,-0.003,,,89.064,0.124,109.934,-17.12,196.709,0.996,-1
,SXBEP,May 980 Calls,,,980,C,100521,,164.54,,,,,,85.024,0.143,152.175,-16.26,263.759,0.987,
,SXBFP,Jun 980 Calls,,,980,C,100618,,166.98,,,,,,82.458,0.148,183.41,-15.719,313.659,0.977,
,SXBIP,Sep 980 Calls,,,980,C,100917,,174.51,,,,,,76.818,0.143,268.282,-13.959,462.701,0.936,
,SXBLP,Dec 980 Calls,,,980,C,101217,,182.02,,,,,,74.944,0.122,337.315,-12.707,596.131,0.894,
,SXBNP,Feb 980 Puts,100120,16:00:00,980,P,100219,0.301,1.63,1.35,1.85,-0.012,849,8323,-2.931,0.06,28.083,-13.733,-3.844,0,1.85
,SXBOP,Mar 980 Puts,100120,16:00:00,980,P,100319,0.271,4.65,4.2,5,-0.011,33,2091,-7.142,0.113,67.381,-15.588,-15.115,0,4.6
,SXBPP,Apr 980 Puts,100120,16:00:00,980,P,100416,0.263,8.39,8.1,9.1,0.025,,,-10.403,0.129,106.147,-16.332,-32.272,0.004,-1
,SXBQP,May 980 Puts,,,980,P,100521,,13.42,,,,,,-14.237,0.146,149.994,-15.731,-59.413,0.013,
,SXBRP,Jun 980 Puts,,,980,P,100618,,17.5,,,,,,-16.847,0.155,181.42,-15.259,-84.392,0.023,
,SXBUP,Sep 980 Puts,,,980,P,100917,,30.22,,,,,,-21.892,0.147,266.556,-13.546,-178.415,0.064,
,SXBXP,Dec 980 Puts,,,980,P,101217,,41.72,,,,,,-24.115,0.127,334.418,-12.064,-284.865,0.106,
,SXBBQ,Feb 985 Calls,100120,16:00:00,985,C,100219,,152.83,151.2,153.5,-0.003,,,96.809,0.062,29.378,-14.167,76.838,1,-1
,SXBCQ,Mar 985 Calls,100120,16:00:00,985,C,100319,,154.61,152.9,155.8,-0.002,,,92.095,0.116,72.27,-16.878,139.784,0.999,-1
,SXBDQ,Apr 985 Calls,,,985,C,100416,,157.24,,,,,,88.567,0.13,113.419,-17.455,196.341,0.995,
,SXBEQ,May 985 Calls,,,985,C,100521,,160.1,,,,,,84.436,0.148,156.218,-16.529,262.954,0.985,
,SXBFQ,Jun 985 Calls,,,985,C,100618,,162.65,,,,,,81.842,0.153,187.64,-15.938,312.546,0.973,
,SXBIQ,Sep 985 Calls,,,985,C,100917,,170.46,,,,,,76.187,0.146,272.701,-14.087,460.704,0.928,
,SXBLQ,Dec 985 Calls,,,985,C,101217,,178.12,,,,,,74.368,0.125,341.582,-12.782,593.587,0.885,
,SXBNQ,Feb 985 Puts,100120,16:00:00,985,P,100219,0.297,1.72,1.45,2,0.012,1725,3792,-3.136,0.065,29.561,-14.398,-4.094,0,2
,SXBOQ,Mar 985 Puts,100120,16:00:00,985,P,100319,0.27,4.9,4.7,5.4,0.031,,70,-7.561,0.119,70.246,-16.457,-15.973,0.001,-1
,SXBPQ,Apr 985 Puts,,,985,P,100416,,8.78,,,,,,-10.923,0.135,109.777,-16.413,-33.841,0.005,
,SXBQQ,May 985 Puts,,,985,P,100521,,13.98,,,,,,-14.839,0.153,154.12,-16.01,-61.89,0.015,
,SXBRQ,Jun 985 Puts,,,985,P,100618,,18.18,,,,,,-17.504,0.161,185.774,-15.493,-87.598,0.027,
,SXBUQ,Sep 985 Puts,,,985,P,100917,,31.17,,,,,,-22.546,0.151,271.08,-13.681,-183.762,0.072,
,SXBXQ,Dec 985 Puts,,,985,P,101217,,42.87,,,,,,-24.715,0.129,338.924,-12.155,-292.21,0.115,
,SXBBR,Feb 990 Calls,100120,16:00:00,990,C,100219,,147.92,146.3,148.6,-0.003,,,96.592,0.067,30.944,-14.665,76.98,1,-1
