Existing Posn.,Symbol,Description,Date,Time,Strike Price,Call/Put,Exp.Date,Mid IV,Th.Price,Bid,Asked,Percent O/U,Volume,Open Interest,Delta,Gamma,Vega,Theta,Rho,Prob.Finish.ITM,Last
,SPX,SPX Index,170217,16:00:00,, ,,,,,,,,,1,0,,,,,2351
,SPX 17N1965,Feb 1965 Puts,,,1965,P,170217,,0,,,,,,0,0,0,0,0,,
,SPX 17N1965D28,FebM 1965 Puts,170217,16:00:00,1965,P,170228,,1.3,,0.1,,,85,0,0.001,17.522,-36.451,-1.263,0,-1
,SPX 17O1965,Mar 1965 Puts,170217,16:00:00,1965,P,170317,0.287,1.74,0.45,1,-0.58,,1618,-0.549,0.004,33.676,-9.401,-4.001,0,-1
,SPX 17P1965,Apr 1965 Puts,170217,16:00:00,1965,P,170421,0.227,2.42,2.1,2.6,-0.029,,,-1.561,0.013,62.254,-10.743,-11.548,0,-1
,SPX 17P1965D28,AprM 1965 Puts,170217,16:00:00,1965,P,170428,0.222,2.85,2.75,2.9,-0.007,,,-1.926,0.016,72.343,-11.186,-14.457,0,-1
,SPX 17N1970,Feb 1970 Puts,170217,16:00:00,1970,P,170217,,0,,,,,9531,0,0,0,0,0,,-1
,SPX 17N1970D28,FebM 1970 Puts,170217,16:00:00,1970,P,170228,,1.29,,0.1,,,307,0,0.001,17.58,-36.071,-1.267,0,-1
,SPX 17O1970,Mar 1970 Puts,170217,16:00:00,1970,P,170317,0.284,1.74,0.5,1,-0.569,,4440,-0.56,0.005,34.067,-9.54,-4.054,0,-1
,SPX 17P1970,Apr 1970 Puts,170217,16:00:00,1970,P,170421,0.224,2.47,2.1,2.65,-0.036,,233,-1.609,0.013,63.665,-10.787,-11.861,0,-1
,SPX 17P1970D28,AprM 1970 Puts,170217,16:00:00,1970,P,170428,0.22,2.92,2.8,2.95,-0.014,,,-1.987,0.017,74.056,-11.253,-14.871,0,-1
,SPX 17Q1970,May 1970 Puts,170217,16:00:00,1970,P,170519,0.213,5.32,4.7,5.2,-0.07,,11,-3.218,0.023,118.472,-13.08,-29.593,0,-1
,SPX 17N1975,Feb 1975 Puts,170217,16:00:00,1975,P,170217,,0,,,,,16069,0,0,0,0,0,,-1
,SPX 17N1975D28,FebM 1975 Puts,170217,16:00:00,1975,P,170228,,1.28,,0.1,,,940,0,0.001,17.64,-35.691,-1.271,0,-1
,SPX 17O1975,Mar 1975 Puts,170217,16:00:00,1975,P,170317,0.285,1.75,0.65,1.05,-0.514,1228,61000,-0.571,0.005,34.468,-10.535,-4.109,0,0.87
,SPX 17P1975,Apr 1975 Puts,170217,16:00:00,1975,P,170421,0.223,2.53,2.2,2.7,-0.032,3,5846,-1.659,0.014,65.12,-11.053,-12.186,0,2.49
,SPX 17P1975D28,AprM 1975 Puts,170217,16:00:00,1975,P,170428,0.218,2.99,2.9,3.1,0.003,,1533,-2.051,0.017,75.819,-11.545,-15.299,0,-1
,SPX 17Q1975,May 1975 Puts,170217,16:00:00,1975,P,170519,0.211,5.45,4.7,5.3,-0.081,471,3899,-3.313,0.024,120.985,-13.154,-30.379,0,5.25
,SPX 17R1975,Jun 1975 Puts,170217,16:00:00,1975,P,170616,0.206,8.39,8.1,8.7,0.002,15,17782,-5.018,0.033,172.982,-14.599,-53.214,0,8.6
,SPX 17U1975,Sep 1975 Puts,170217,16:00:00,1975,P,170915,0.198,21.32,20.9,21.7,0,32,886,-9.853,0.046,347.691,-15.715,-168.261,0.001,21.65
,SPX 17X1975,Dec 1975 Puts,170217,16:00:00,1975,P,171215,0.195,35.58,34.8,36.3,-0.001,,12118,-12.631,0.047,498.603,-15.175,-321.103,0.006,-1
,SPX 17N1980,Feb 1980 Puts,170217,16:00:00,1980,P,170217,,0,,,,,1537,0,0,0,0,0,,-1
,SPX 17N1980D28,FebM 1980 Puts,170217,16:00:00,1980,P,170228,,1.26,,0.1,,11,154,-0.001,0.001,17.701,-35.31,-1.276,0,0.08
,SPX 17O1980,Mar 1980 Puts,170217,16:00:00,1980,P,170317,0.281,1.76,0.6,1.05,-0.528,39,3866,-0.583,0.005,34.881,-10.368,-4.166,0,0.9
,SPX 17P1980,Apr 1980 Puts,170217,16:00:00,1980,P,170421,0.22,2.59,2.2,2.75,-0.042,,105,-1.711,0.015,66.618,-11.101,-12.523,0,-1
,SPX 17P1980D28,AprM 1980 Puts,170217,16:00:00,1980,P,170428,0.217,3.07,2.95,3.2,0.003,,,-2.117,0.018,77.634,-11.73,-15.744,0,-1
,SPX 17Q1980,May 1980 Puts,170217,16:00:00,1980,P,170519,0.211,5.58,5,5.6,-0.047,110,37,-3.411,0.025,123.561,-13.687,-31.191,0,5.65
,SPX 17N1985,Feb 1985 Puts,,,1985,P,170217,,0,,,,,,0,0,0,0,0,,
,SPX 17N1985D28,FebM 1985 Puts,170217,16:00:00,1985,P,170228,,1.25,0.05,0.1,,1,327,-0.002,0.001,17.762,-34.93,-1.28,0,0.1
,SPX 17O1985,Mar 1985 Puts,170217,16:00:00,1985,P,170317,0.277,1.76,0.6,1.05,-0.528,,1372,-0.595,0.005,35.306,-10.311,-4.224,0,-1
,SPX 17P1985,Apr 1985 Puts,170217,16:00:00,1985,P,170421,0.218,2.65,2.3,2.8,-0.034,13,,-1.765,0.015,68.163,-11.263,-12.872,0,2.67
,SPX 17P1985D28,AprM 1985 Puts,170217,16:00:00,1985,P,170428,0.215,3.14,3,3.2,-0.013,,,-2.186,0.018,79.503,-11.805,-16.205,0,-1
,SPX 17N1990,Feb 1990 Puts,170217,16:00:00,1990,P,170217,,0,,,,,4465,0,0,0,0,0,,-1
,SPX 17N1990D28,FebM 1990 Puts,170217,16:00:00,1990,P,170228,,1.24,0.05,0.1,,,105,-0.003,0.001,17.825,-34.55,-1.285,0,-1
,SPX 17O1990,Mar 1990 Puts,170217,16:00:00,1990,P,170317,0.276,1.77,0.65,1.1,-0.503,,1625,-0.608,0.005,35.743,-10.813,-4.285,0,-1
,SPX 17P1990,Apr 1990 Puts,170217,16:00:00,1990,P,170421,0.217,2.71,2.35,2.85,-0.041,,755,-1.822,0.016,69.756,-11.429,-13.235,0,-1
,SPX 17P1990D28,AprM 1990 Puts,170217,16:00:00,1990,P,170428,0.213,3.22,3.1,3.3,-0.006,,,-2.258,0.019,81.428,-11.997,-16.683,0,-1
,SPX 17Q1990,May 1990 Puts,170217,16:00:00,1990,P,170519,0.208,5.85,5.3,5.9,-0.043,,3,-3.618,0.026,128.904,-14.082,-32.896,0,-1
